rule_id,tier,include_in_dataset_v3,reason,quota_min,quota_preferred,quota_final,candidate_recall,safety_status,source
pattern_цы_ци,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pattern_чо_че,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pattern_чю_чу,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2082,0.9583333333333334,stable_v2_ready,v2
pattern_чя_ча,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pattern_шо_ше,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pattern_шы_ши,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pattern_що_ще,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pattern_щю_щу,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2044,1.0,stable_v2_ready,v2
pattern_щя_ща,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pol_polu_compounds,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2011,1.0,stable_v2_ready,v2
prefix_pre_pri,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
prefix_s_to_z,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
prefix_z_to_s,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
punctuation_delete_replace,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
quote_close,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
quote_open,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
quote_pair_balance,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
sdelat_prefix,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
semicolon,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
soft_to_hard_sign,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
subject_predicate_dash,wave1,True,verified_wave1_candidate_backed,500,1000,2346,1.0,READY_NEXT_DATASET,v2/wave1
swapped_letters_candidate,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,200,500,1200,1.0,stable_v2_ready,v2
tsya_soft_delete,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
tsya_soft_insert,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
yo_e_candidate,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
