rule_id,canonical_rule_id,source_module,mapped_matrix_key,mapped_orfogrammka_id,mapped_title,mapping_confidence,mapping_reason,action
pattern_щю_щу,pattern_щю_щу,src.rules.orthography,orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",high,Exact bounded candidate for а/у after hissing consonants.,mapped
pattern_щя_ща,pattern_щя_ща,src.rules.orthography,orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",high,Exact bounded candidate for а/у after hissing consonants.,mapped
pol_polu_compounds,pol_polu_compounds,src.rules.orthography,orthography_3_1_1_2_9,3.1.1.2.9,Сочетания с префиксом «пол-»,high,Bounded candidate for пол-/полу- compounds.,mapped
prefix_pre_pri,prefix_pre_pri,src.rules.orthography,orthography_1_2_3_2,1.2.3.2,Приставки при- и пре-,high,Dictionary-backed при-/пре- candidate.,mapped
prefix_s_to_z,prefix_s_to_z,src.rules.orthography,orthography_1_3_1_4,1.3.1.4,Правописание приставок на «з» и «с»,high,Executable candidate for prefix spelling on з/с.,mapped
prefix_z_to_s,prefix_z_to_s,src.rules.orthography,orthography_1_3_1_4,1.3.1.4,Правописание приставок на «з» и «с»,high,Executable candidate for prefix spelling on з/с.,mapped
punctuation_delete_replace,punctuation_delete_replace,src.rules.punctuation,punctuation_11_6,11.6,Лишние знаки препинания,high,Bounded duplicate/noise cleanup maps to excessive punctuation.,mapped
quote_close,quote_close,src.rules.punctuation,punctuation_9_6,9.6,Разные знаки с кавычками,medium,Closing quote candidate maps to punctuation with quotes.,needs_manual_review
quote_open,quote_open,src.rules.punctuation,punctuation_9_6,9.6,Разные знаки с кавычками,medium,Opening quote candidate maps to punctuation with quotes.,needs_manual_review
quote_pair_balance,quote_pair_balance,src.rules.punctuation,punctuation_9_6,9.6,Разные знаки с кавычками,medium,One-sided quote balance candidate maps to punctuation with quotes.,needs_manual_review
sdelat_prefix,sdelat_prefix,src.rules.orthography,orthography_1_3_1_4,1.3.1.4,Правописание приставок на «з» и «с»,high,Executable candidate for prefix spelling on з/с.,mapped
semicolon,semicolon,src.rules.punctuation,punctuation_7_1_2,7.1.2,Точка с запятой между частями сложносочинённого предложения,high,Bounded semicolon candidate maps to semicolon in compound sentences.,mapped
soft_to_hard_sign,soft_to_hard_sign,src.rules.orthography,orthography_1_1_4_1,1.1.4.1,Разделительные «ъ» и «ь»,high,Executable candidate for replacing wrong soft sign with hard sign after prefix.,mapped
subject_predicate_dash,subject_predicate_dash,src.rules.punctuation,punctuation_2_1_2,2.1.2,"Тире перед словами «вот», «это»",high,Current candidate targets the это/вот subject-predicate dash case.,mapped
swapped_letters_candidate,swapped_letters_candidate,src.rules.orthography,orthography_7_1,7.1,"Пропуск, вставка, изменение или перестановка буквы",high,Adjacent-letter swap candidate maps to letter operation typos.,mapped
tsya_soft_delete,tsya_soft_delete,src.rules.orthography,orthography_1_1_4_4,1.1.4.4,Буква «ь» не после шипящих в некоторых грамматических формах,high,Bounded -тся/-ться candidate for grammatical soft sign forms.,mapped
tsya_soft_insert,tsya_soft_insert,src.rules.orthography,orthography_1_1_4_4,1.1.4.4,Буква «ь» не после шипящих в некоторых грамматических формах,high,Bounded -тся/-ться candidate for grammatical soft sign forms.,mapped
yo_e_candidate,yo_e_candidate,src.rules.orthography,orthography_1_1_1_3,1.1.1.3,Буква «ё»,medium,е/ё candidate exists but policy is disabled and taxonomy point is narrower than generic candidate.,needs_manual_review
frequent_errors,frequent_error_exact,src.rules.rule_ids,orthography_8_1,8.1,Орфографические ошибки в словарных словах,high,Legacy alias normalized to frequent_error_exact.,alias
