profile,row_id,rule_id,error_type,source,target,prediction,exact,improved,worse,clean_overcorrected,accepted_rules
baseline,29,address_comma,punctuation,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.","Иван, отправь открытая заявка. Позже комиссия сохранила решение.",True,True,False,False,address_comma
baseline,30,address_comma,punctuation,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.","Иван, отправь утренний приказ. Вечером редактор открыл протокол.",True,True,False,False,address_comma
baseline,31,address_comma,punctuation,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.","Иван, отправь утренний приказ. Вечером редактор открыл протокол.",True,True,False,False,address_comma
baseline,32,address_comma,punctuation,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.","Иван, отправь утренний приказ. Вечером редактор открыл протокол.",True,True,False,False,address_comma
baseline,33,address_comma,punctuation,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.","Иван, отправь утренний приказ. Вечером редактор открыл протокол.",True,True,False,False,address_comma
baseline,34,address_comma,punctuation,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.","Иван, отправь утренний приказ. Вечером редактор открыл протокол.",True,True,False,False,address_comma
baseline,35,address_comma,punctuation,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.","Иван, отправь утренний приказ. Вечером редактор открыл протокол.",True,True,False,False,address_comma
baseline,36,address_comma,punctuation,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.","Коллеги, исправим свежая сводка. Утром отдел отправил договор.",True,True,False,False,address_comma
baseline,37,address_comma,punctuation,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.","Коллеги, исправим свежая сводка. Утром отдел отправил договор.",True,True,False,False,address_comma
baseline,38,address_comma,punctuation,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.","Коллеги, исправим свежая сводка. Утром отдел отправил договор.",True,True,False,False,address_comma
baseline,39,address_comma,punctuation,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.","Коллеги, исправим свежая сводка. Утром отдел отправил договор.",True,True,False,False,address_comma
baseline,40,address_comma,punctuation,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.","Коллеги, исправим свежая сводка. Утром отдел отправил договор.",True,True,False,False,address_comma
baseline,41,address_comma,punctuation,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.","Коллеги, исправим свежая сводка. Утром отдел отправил договор.",True,True,False,False,address_comma
baseline,42,address_comma,punctuation,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.","Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",True,True,False,False,address_comma
baseline,43,address_comma,punctuation,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.","Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",True,True,False,False,address_comma
baseline,44,address_comma,punctuation,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.","Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",True,True,False,False,address_comma
baseline,45,address_comma,punctuation,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.","Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",True,True,False,False,address_comma
baseline,46,address_comma,punctuation,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.","Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",True,True,False,False,address_comma
baseline,47,address_comma,punctuation,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.","Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",True,True,False,False,address_comma
baseline,48,address_comma,punctuation,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.","Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",True,True,False,False,address_comma
baseline,49,address_comma,punctuation,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.","Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",True,True,False,False,address_comma
baseline,50,address_comma,punctuation,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.","Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",True,True,False,False,address_comma
baseline,51,address_comma,punctuation,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.","Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",True,True,False,False,address_comma
baseline,52,address_comma,punctuation,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.","Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",True,True,False,False,address_comma
baseline,53,address_comma,punctuation,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.","Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",True,True,False,False,address_comma
baseline,54,address_comma,punctuation,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.","Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",True,True,False,False,address_comma
baseline,55,address_comma,punctuation,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.","Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",True,True,False,False,address_comma
baseline,56,address_comma,punctuation,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.","Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",True,True,False,False,address_comma
baseline,57,address_comma,punctuation,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.","Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",True,True,False,False,address_comma
baseline,58,address_comma,punctuation,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.","Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",True,True,False,False,address_comma
baseline,59,address_comma,punctuation,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.","Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",True,True,False,False,address_comma
baseline,60,address_comma,punctuation,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.","Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",True,True,False,False,address_comma
baseline,61,address_comma,punctuation,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.","Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",True,True,False,False,address_comma
baseline,62,address_comma,punctuation,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.","Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",True,True,False,False,address_comma
baseline,63,address_comma,punctuation,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.","Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",True,True,False,False,address_comma
baseline,64,address_comma,punctuation,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.","Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",True,True,False,False,address_comma
baseline,65,address_comma,punctuation,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.","Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",True,True,False,False,address_comma
baseline,66,address_comma,punctuation,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.","Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",True,True,False,False,address_comma
baseline,67,address_comma,punctuation,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.","Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",True,True,False,False,address_comma
baseline,68,address_comma,punctuation,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.","Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",True,True,False,False,address_comma
baseline,69,address_comma,punctuation,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.","Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",True,True,False,False,address_comma
baseline,70,address_comma,punctuation,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.","Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",True,True,False,False,address_comma
baseline,71,address_comma,punctuation,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.","Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",True,True,False,False,address_comma
baseline,72,address_comma,punctuation,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.","Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",True,True,False,False,address_comma
baseline,73,address_comma,punctuation,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.","Мария, посмотри вечерний протокол. Затем группа проверила договор.",True,True,False,False,address_comma
baseline,74,address_comma,punctuation,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.","Мария, посмотри вечерний протокол. Затем группа проверила договор.",True,True,False,False,address_comma
baseline,75,address_comma,punctuation,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.","Мария, посмотри вечерний протокол. Затем группа проверила договор.",True,True,False,False,address_comma
baseline,76,address_comma,punctuation,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.","Мария, посмотри вечерний протокол. Затем группа проверила договор.",True,True,False,False,address_comma
baseline,77,address_comma,punctuation,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.","Мария, посмотри вечерний протокол. Затем группа проверила договор.",True,True,False,False,address_comma
baseline,78,address_comma,punctuation,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.","Мария, посмотри вечерний протокол. Затем группа проверила договор.",True,True,False,False,address_comma
baseline,79,address_comma,punctuation,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.","Мария, посмотри закрытая заявка. Вечером координатор открыл список.",True,True,False,False,address_comma
baseline,80,address_comma,punctuation,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.","Мария, посмотри закрытая заявка. Вечером координатор открыл список.",True,True,False,False,address_comma
baseline,81,address_comma,punctuation,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.","Мария, посмотри закрытая заявка. Вечером координатор открыл список.",True,True,False,False,address_comma
baseline,82,address_comma,punctuation,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.","Мария, посмотри закрытая заявка. Вечером координатор открыл список.",True,True,False,False,address_comma
baseline,83,address_comma,punctuation,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.","Мария, посмотри закрытая заявка. Вечером координатор открыл список.",True,True,False,False,address_comma
baseline,84,address_comma,punctuation,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.","Мария, посмотри закрытая заявка. Вечером координатор открыл список.",True,True,False,False,address_comma
baseline,85,address_comma,punctuation,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.","Мария, посмотри закрытая заявка. Вечером координатор открыл список.",True,True,False,False,address_comma
baseline,86,address_comma,punctuation,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.","Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",True,True,False,False,address_comma
baseline,87,address_comma,punctuation,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.","Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",True,True,False,False,address_comma
baseline,88,address_comma,punctuation,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.","Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",True,True,False,False,address_comma
baseline,89,address_comma,punctuation,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.","Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",True,True,False,False,address_comma
baseline,90,address_comma,punctuation,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.","Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",True,True,False,False,address_comma
baseline,91,address_comma,punctuation,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.","Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",True,True,False,False,address_comma
baseline,92,address_comma,punctuation,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.","Мария, посмотри точный план. После обеда комиссия уточнила вывод.",True,True,False,False,address_comma
baseline,93,address_comma,punctuation,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.","Мария, посмотри точный план. После обеда комиссия уточнила вывод.",True,True,False,False,address_comma
baseline,94,address_comma,punctuation,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.","Мария, посмотри точный план. После обеда комиссия уточнила вывод.",True,True,False,False,address_comma
baseline,95,address_comma,punctuation,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.","Мария, посмотри точный план. После обеда комиссия уточнила вывод.",True,True,False,False,address_comma
baseline,96,address_comma,punctuation,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.","Мария, посмотри точный план. После обеда комиссия уточнила вывод.",True,True,False,False,address_comma
baseline,97,address_comma,punctuation,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.","Мария, посмотри точный план. После обеда комиссия уточнила вывод.",True,True,False,False,address_comma
baseline,536,clean_identity,clean_identity,"По сведениям ""Алгоритма"" , закрытие производства в Зеленограде вызвало панику у продавцов компакт-дисков на Митинском рынке и ""Горбушке"".","По сведениям ""Алгоритма"" , закрытие производства в Зеленограде вызвало панику у продавцов компакт-дисков на Митинском рынке и ""Горбушке"".","По сведениям ""Алгоритма"", закрытие производства в Зеленограде вызвало панику у продавцов компакт-дисков на Митинском рынке и ""Горбушке"".",False,False,True,True,
baseline,1186,clean_identity_hard_negative,hard_negative,"По сведениям ""Алгоритма"" , закрытие производства в Зеленограде вызвало панику у продавцов компакт-дисков на Митинском рынке и ""Горбушке"".","По сведениям ""Алгоритма"" , закрытие производства в Зеленограде вызвало панику у продавцов компакт-дисков на Митинском рынке и ""Горбушке"".","По сведениям ""Алгоритма"", закрытие производства в Зеленограде вызвало панику у продавцов компакт-дисков на Митинском рынке и ""Горбушке"".",False,False,True,True,
baseline,1398,comma_conjunction,punctuation,Автор торопился зато городской архив сохранили вовремя. Утром редактор принял отчет.,"Автор торопился, зато городской архив сохранили вовремя. Утром редактор принял отчет.","Автор торопился, зато городской архив сохранили вовремя. Утром редактор принял отчет.",True,True,False,False,comma_conjunction
