split,threshold_key,decision_count,positive_count,negative_count,min_score,max_score,mean_score
val,cy_exception_threshold,117,117,0,0.5751953125,0.6357421875,0.6022469284188035
val,dash_threshold,95,95,0,0.9990234375,0.99951171875,0.9993935032894737
val,default_threshold,756,689,67,0.00266265869140625,0.99658203125,0.8727151779901414
val,dictionary_fuzzy_threshold,889,311,578,0.0255126953125,0.99609375,0.43251561099418234
val,direct_speech_colon_threshold,361,96,265,0.00042891502380371094,0.9169921875,0.2739161725189547
val,direct_speech_quotes_threshold,766,192,574,2.300739288330078e-05,0.99853515625,0.2844838082167872
val,double_consonant_candidate_threshold,88,80,8,0.18212890625,0.7998046875,0.5381913618607954
val,extra_letter_candidate_threshold,437,87,350,0.026702880859375,0.9970703125,0.30642679245030036
val,final_punctuation_threshold,11,5,6,0.449951171875,0.9306640625,0.7254305752840909
val,frequent_error_exact_threshold,9,9,0,0.1539306640625,0.385986328125,0.2606879340277778
val,hyphen_koe_koy_threshold,78,78,0,0.453125,0.50927734375,0.48349233774038464
val,hyphen_particles_threshold,80,80,0,0.52490234375,0.5546875,0.538470458984375
val,hyphen_po_adverbs_threshold,120,100,20,0.115966796875,0.98876953125,0.47996419270833335
val,hyphen_threshold,91,91,0,0.2587890625,0.312255859375,0.28998808808379123
val,introductory_comma_threshold,278,276,2,0.038177490234375,0.99658203125,0.9534332494941546
val,keyboard_typo_candidate_threshold,307,144,163,0.03436279296875,0.97607421875,0.4439387119554153
val,missing_letter_candidate_threshold,136,75,61,0.0224151611328125,0.9501953125,0.5188084770651424
val,n_nn_adjective_threshold,22,0,22,0.018829345703125,0.51708984375,0.2712582674893466
val,n_nn_deverbal_adjective_threshold,223,221,2,0.59375,0.99755859375,0.6340211603139013
val,n_nn_participle_threshold,6,0,6,0.029815673828125,0.6845703125,0.4262797037760417
val,n_nn_short_form_threshold,124,0,124,0.01078033447265625,0.99658203125,0.37533335531911544
val,ne_adjective_threshold,185,115,70,0.0055999755859375,0.99853515625,0.5897953342747044
val,ne_adverb_threshold,154,106,48,0.0029468536376953125,0.85107421875,0.6171619613449295
val,ne_participle_threshold,125,105,20,0.01395416259765625,0.99658203125,0.7128922119140625
val,punctuation_delete_replace_threshold,8,6,2,0.84375,0.96875,0.933349609375
val,quote_close_threshold,398,0,398,5.7816505432128906e-05,0.0810546875,0.0017877526618727488
val,quote_open_threshold,402,0,402,0.00019562244415283203,0.05645751953125,0.0026039964524074573
val,spelling_threshold,160,4,156,0.080810546875,0.99951171875,0.5621902465820312
val,split_join_threshold,1043,692,351,0.0294189453125,0.99462890625,0.524485572529662
val,subject_predicate_dash_threshold,218,208,10,0.04876708984375,0.99853515625,0.9533775399584289
val,swapped_letters_candidate_threshold,101,89,12,0.09552001953125,0.791015625,0.7326889793471535
