profile,split,rule_id,rows,dirty_rows,clean_rows,exact_match_rate,dirty_exact_rate,dirty_improved_rate,dirty_worse_rate,clean_overcorrection_rate,mean_distance_delta,accepted_edits_per_row
baseline,val,n_nn_participle,8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,ne_adjective,115,115,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,ne_adverb,106,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,ne_participle,105,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,ni_stable_expression,101,101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,pattern_жы_жи,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,pattern_чю_чу,137,137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,pattern_щю_щу,86,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,pol_polu_compounds,91,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,subject_predicate_dash,104,104,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
baseline,val,swapped_letters_candidate,87,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,tsya_soft_delete,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,unknown,21,21,0,0.0,0.0,0.38095238095238093,0.047619047619047616,0.0,0.42857142857142855,0.047619047619047616
baseline,test,address_comma,98,98,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,test,clean_identity,650,0,650,0.9984615384615385,0.0,0.0,0.0,0.0015384615384615385,-0.0015384615384615385,0.0
baseline,test,clean_identity_hard_negative,650,0,650,0.9984615384615385,0.0,0.0,0.0,0.0015384615384615385,-0.0015384615384615385,0.0
baseline,test,comma_conjunction,72,72,0,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.0,0.0,0.9027777777777778,0.9027777777777778
baseline,test,comma_subordinate,119,119,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,test,comparative_turnover_comma,76,76,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,test,context_chto_by,119,119,0,0.0,0.0,0.01680672268907563,0.0,0.0,0.01680672268907563,0.008403361344537815
baseline,test,context_nesmotrya,104,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,context_tak_zhe,88,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,context_to_zhe,148,148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,context_vsledstvie,106,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,context_za_to,149,149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,cy_exception,71,71,0,0.8169014084507042,0.8169014084507042,0.8169014084507042,0.0,0.0,0.8169014084507042,0.8169014084507042
baseline,test,detached_adverbial_comma,83,83,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,test,dictionary_fuzzy,80,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,direct_speech_colon,135,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,direct_speech_dash,89,89,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
baseline,test,double_consonant_candidate,124,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,enumeration_colon,82,82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,explanation_colon,124,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,extra_letter_candidate,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,frequent_error_exact,10,10,0,0.0,0.0,0.1,0.1,0.0,-0.1,0.1
baseline,test,homogeneous_comma,82,82,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,test,hyphen_koe_koy,151,151,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,test,hyphen_particles,111,111,0,0.9819819819819819,0.9819819819819819,1.0,0.0,0.0,1.0,1.0
baseline,test,hyphen_po_adverbs,106,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,introductory_comma,67,67,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,test,keyboard_typo_candidate,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,missing_letter_candidate,88,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,n_nn_deverbal_adjective,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,n_nn_participle,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,ne_adjective,87,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,ne_adverb,114,114,0,0.0,0.0,0.008771929824561403,0.0,0.0,0.017543859649122806,0.0
baseline,test,ne_participle,113,113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,ne_verb,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,ni_stable_expression,120,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,pattern_чю_чу,77,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,pattern_щю_щу,79,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,pol_polu_compounds,93,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,prefix_pre_pri,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,soft_to_hard_sign,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
baseline,test,subject_predicate_dash,69,69,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
baseline,test,swapped_letters_candidate,118,118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,tsya_soft_insert,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,test,unknown,34,34,0,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.0,0.0,0.3235294117647059,0.3235294117647059
seed_v2,val,address_comma,94,94,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,clean_identity,650,0,650,0.9969230769230769,0.0,0.0,0.0,0.003076923076923077,-0.003076923076923077,0.003076923076923077
seed_v2,val,clean_identity_hard_negative,650,0,650,0.9969230769230769,0.0,0.0,0.0,0.003076923076923077,-0.003076923076923077,0.003076923076923077
seed_v2,val,comma_conjunction,99,99,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,comma_subordinate,79,79,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,comparative_turnover_comma,125,125,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,context_chto_by,129,129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,context_nesmotrya,97,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,context_tak_zhe,92,92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,context_to_zhe,105,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,context_vsledstvie,102,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,context_za_to,85,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,cy_exception,117,117,0,0.7264957264957265,0.7264957264957265,0.7264957264957265,0.0,0.0,0.7264957264957265,0.7264957264957265
seed_v2,val,detached_adverbial_comma,102,102,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,dictionary_fuzzy,63,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,direct_speech_colon,96,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,direct_speech_dash,95,95,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
seed_v2,val,double_consonant_candidate,54,54,0,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.0,0.0,0.8703703703703703,0.8703703703703703
seed_v2,val,enumeration_colon,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,explanation_colon,96,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,extra_letter_candidate,63,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,frequent_error_exact,27,27,0,0.1111111111111111,0.1111111111111111,0.2962962962962963,0.0,0.0,0.2962962962962963,0.2962962962962963
seed_v2,val,homogeneous_comma,105,105,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,hyphen_koe_koy,78,78,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,hyphen_particles,80,80,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,hyphen_po_adverbs,100,100,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,introductory_comma,134,134,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,val,keyboard_typo_candidate,142,142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,missing_letter_candidate,69,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,n_nn_adjective,4,4,0,0.25,0.25,1.0,0.0,0.0,1.0,1.0
seed_v2,val,n_nn_deverbal_adjective,221,221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,n_nn_participle,8,8,0,0.125,0.125,0.75,0.0,0.0,1.0,1.0
seed_v2,val,ne_adjective,115,115,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,ne_adverb,106,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,ne_participle,105,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,ni_stable_expression,101,101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,pattern_жы_жи,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,pattern_чю_чу,137,137,0,0.0,0.0,0.014598540145985401,0.0,0.0,0.014598540145985401,0.014598540145985401
seed_v2,val,pattern_щю_щу,86,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,pol_polu_compounds,91,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,subject_predicate_dash,104,104,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
seed_v2,val,swapped_letters_candidate,87,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,val,tsya_soft_delete,6,6,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
seed_v2,val,unknown,21,21,0,0.0,0.0,0.38095238095238093,0.047619047619047616,0.0,0.5238095238095238,0.14285714285714285
seed_v2,test,address_comma,98,98,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,clean_identity,650,0,650,0.9953846153846154,0.0,0.0,0.0,0.004615384615384616,-0.004615384615384616,0.003076923076923077
seed_v2,test,clean_identity_hard_negative,650,0,650,0.9953846153846154,0.0,0.0,0.0,0.004615384615384616,-0.004615384615384616,0.003076923076923077
seed_v2,test,comma_conjunction,72,72,0,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.0,0.0,0.9027777777777778,0.9027777777777778
seed_v2,test,comma_subordinate,119,119,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,comparative_turnover_comma,76,76,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,context_chto_by,119,119,0,0.0,0.0,0.01680672268907563,0.0,0.0,0.01680672268907563,0.008403361344537815
seed_v2,test,context_nesmotrya,104,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,context_tak_zhe,88,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,context_to_zhe,148,148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,context_vsledstvie,106,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,context_za_to,149,149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,cy_exception,71,71,0,0.8169014084507042,0.8169014084507042,0.8169014084507042,0.0,0.0,0.8169014084507042,0.8169014084507042
seed_v2,test,detached_adverbial_comma,83,83,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,dictionary_fuzzy,80,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,direct_speech_colon,135,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,direct_speech_dash,89,89,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
seed_v2,test,double_consonant_candidate,124,124,0,0.8951612903225806,0.8951612903225806,0.8951612903225806,0.0,0.0,0.8951612903225806,0.8951612903225806
seed_v2,test,enumeration_colon,82,82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,explanation_colon,124,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,extra_letter_candidate,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,frequent_error_exact,10,10,0,0.2,0.2,0.4,0.1,0.0,0.3,0.5
seed_v2,test,homogeneous_comma,82,82,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,hyphen_koe_koy,151,151,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,hyphen_particles,111,111,0,0.9819819819819819,0.9819819819819819,1.0,0.0,0.0,1.0,1.0
seed_v2,test,hyphen_po_adverbs,106,106,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,introductory_comma,67,67,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
seed_v2,test,keyboard_typo_candidate,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,missing_letter_candidate,88,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,n_nn_deverbal_adjective,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,n_nn_participle,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,ne_adjective,87,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,ne_adverb,114,114,0,0.0,0.0,0.008771929824561403,0.0,0.0,0.017543859649122806,0.0
seed_v2,test,ne_participle,113,113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,ne_verb,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,ni_stable_expression,120,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,pattern_чю_чу,77,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,pattern_щю_щу,79,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,pol_polu_compounds,93,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,prefix_pre_pri,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,soft_to_hard_sign,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
seed_v2,test,subject_predicate_dash,69,69,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
seed_v2,test,swapped_letters_candidate,118,118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,tsya_soft_insert,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_v2,test,unknown,34,34,0,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.0,0.0,0.3235294117647059,0.35294117647058826
large_v3,val,address_comma,94,94,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,clean_identity,650,0,650,0.9969230769230769,0.0,0.0,0.0,0.003076923076923077,-0.003076923076923077,0.003076923076923077
large_v3,val,clean_identity_hard_negative,650,0,650,0.9969230769230769,0.0,0.0,0.0,0.003076923076923077,-0.003076923076923077,0.003076923076923077
large_v3,val,comma_conjunction,99,99,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,comma_subordinate,79,79,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,comparative_turnover_comma,125,125,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,context_chto_by,129,129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,context_nesmotrya,97,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,context_tak_zhe,92,92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,context_to_zhe,105,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,context_vsledstvie,102,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,context_za_to,85,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,cy_exception,117,117,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,detached_adverbial_comma,102,102,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,dictionary_fuzzy,63,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,direct_speech_colon,96,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,direct_speech_dash,95,95,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
large_v3,val,double_consonant_candidate,54,54,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,enumeration_colon,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,explanation_colon,96,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,extra_letter_candidate,63,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,frequent_error_exact,27,27,0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
large_v3,val,homogeneous_comma,105,105,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,hyphen_koe_koy,78,78,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,hyphen_particles,80,80,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,hyphen_po_adverbs,100,100,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,introductory_comma,134,134,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,val,keyboard_typo_candidate,142,142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,missing_letter_candidate,69,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,n_nn_adjective,4,4,0,0.25,0.25,1.0,0.0,0.0,1.0,1.0
large_v3,val,n_nn_deverbal_adjective,221,221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,n_nn_participle,8,8,0,0.25,0.25,0.75,0.0,0.0,1.25,1.25
large_v3,val,ne_adjective,115,115,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,ne_adverb,106,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,ne_participle,105,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,ni_stable_expression,101,101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,pattern_жы_жи,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,pattern_чю_чу,137,137,0,0.0,0.0,0.014598540145985401,0.0,0.0,0.014598540145985401,0.014598540145985401
large_v3,val,pattern_щю_щу,86,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,pol_polu_compounds,91,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,val,subject_predicate_dash,104,104,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
large_v3,val,swapped_letters_candidate,87,87,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
large_v3,val,tsya_soft_delete,6,6,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
large_v3,val,unknown,21,21,0,0.0,0.0,0.42857142857142855,0.047619047619047616,0.0,0.5714285714285714,0.19047619047619047
large_v3,test,address_comma,98,98,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,clean_identity,650,0,650,0.9938461538461538,0.0,0.0,0.0,0.006153846153846154,-0.006153846153846154,0.004615384615384616
large_v3,test,clean_identity_hard_negative,650,0,650,0.9938461538461538,0.0,0.0,0.0,0.006153846153846154,-0.006153846153846154,0.004615384615384616
large_v3,test,comma_conjunction,72,72,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,comma_subordinate,119,119,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,comparative_turnover_comma,76,76,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,context_chto_by,119,119,0,0.0,0.0,0.01680672268907563,0.0,0.0,0.01680672268907563,0.008403361344537815
large_v3,test,context_nesmotrya,104,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,context_tak_zhe,88,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,context_to_zhe,148,148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,context_vsledstvie,106,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,context_za_to,149,149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,cy_exception,71,71,0,0.9014084507042254,0.9014084507042254,0.9014084507042254,0.0,0.0,0.9014084507042254,0.9014084507042254
large_v3,test,detached_adverbial_comma,83,83,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,dictionary_fuzzy,80,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,direct_speech_colon,135,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,direct_speech_dash,89,89,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
large_v3,test,double_consonant_candidate,124,124,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,enumeration_colon,82,82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,explanation_colon,124,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,extra_letter_candidate,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,frequent_error_exact,10,10,0,0.2,0.2,0.4,0.1,0.0,0.3,0.5
large_v3,test,homogeneous_comma,82,82,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,hyphen_koe_koy,151,151,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,hyphen_particles,111,111,0,0.9819819819819819,0.9819819819819819,1.0,0.0,0.0,1.0,1.0
large_v3,test,hyphen_po_adverbs,106,106,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,introductory_comma,67,67,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
large_v3,test,keyboard_typo_candidate,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,missing_letter_candidate,88,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,n_nn_deverbal_adjective,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,n_nn_participle,4,4,0,0.25,0.25,0.5,0.0,0.0,0.5,0.5
large_v3,test,ne_adjective,87,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,ne_adverb,114,114,0,0.0,0.0,0.008771929824561403,0.0,0.0,0.017543859649122806,0.0
large_v3,test,ne_participle,113,113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,ne_verb,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,ni_stable_expression,120,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,pattern_чю_чу,77,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_v3,test,pattern_щю_щу,79,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
