matrix_key,rule_id,example_source,example_target,generated_candidate_count,matching_candidate_found,candidate_recall,decision,reason
orthography_1_1_2_1,pattern_чю_чу,Автор увидел чюжой и открыл рабочий отчет утром.,Автор увидел чужой и открыл рабочий отчет утром.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_1,pattern_чя_ча,"Редактор проверил чясть, когда готовил рабочий отчет.","Редактор проверил часть, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_3,pattern_шо_ше,"Редактор проверил шостой, когда готовил рабочий отчет.","Редактор проверил шестой, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_2,pattern_шы_ши,Автор увидел тишына и открыл рабочий отчет утром.,Автор увидел тишина и открыл рабочий отчет утром.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_3,pattern_що_ще,"Редактор проверил щодрый, когда готовил рабочий отчет.","Редактор проверил щедрый, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_1,pattern_щю_щу,Команда внесла щюплый в рабочий отчет перед встречей.,Команда внесла щуплый в рабочий отчет перед встречей.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_1,pattern_щя_ща,"Редактор проверил щявель, когда готовил рабочий отчет.","Редактор проверил щавель, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_1_1_2_9,pol_polu_compounds,Он купил пол лимона для опыта. Позже редактор сохранил копию.,Он купил пол-лимона для опыта. Позже редактор сохранил копию.,12,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_2_3_2,prefix_pre_pri,1914. Русские войска вступили в приделы Венгрии Бои у Сопоцкина и Друскеник закончились отступлением германцев.,1914. Русские войска вступили в пределы Венгрии Бои у Сопоцкина и Друскеник закончились отступлением германцев.,15,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_1_4,prefix_s_to_z,"Редактор проверил бесдарный, когда готовил рабочий отчет.","Редактор проверил бездарный, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_1_4,prefix_z_to_s,Команда внесла разсказать в рабочий отчет перед встречей.,Команда внесла рассказать в рабочий отчет перед встречей.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_11_6,punctuation_delete_replace,"Документ,, готов.","Документ, готов.",3,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_9_6,quote_close,Редактор сказал: «отчет готов.,Редактор сказал: «отчет готов».,5,False,0.0,BLOCK_NO_CANDIDATE,candidate generator did not match probe target
punctuation_9_6,quote_open,Редактор сказал: отчет готов».,Редактор сказал: «отчет готов».,5,False,0.0,BLOCK_NO_CANDIDATE,candidate generator did not match probe target
punctuation_9_6,quote_pair_balance,Редактор сказал: «отчет готов.,Редактор сказал: «отчет готов».,5,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_1_4,sdelat_prefix,Автор увидел зделали и открыл рабочий отчет утром.,Автор увидел сделали и открыл рабочий отчет утром.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_7_1_2,semicolon,Документ готов отчет отправлен.,Документ готов; отчет отправлен.,5,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_4_1,soft_to_hard_sign,"Редактор проверил обьявление, когда готовил рабочий отчет.","Редактор проверил объявление, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_2_1_2,subject_predicate_dash,Москва это столица России. Позже редактор сохранил копию.,Москва — это столица России. Позже редактор сохранил копию.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_7_1,swapped_letters_candidate,"Редактор проверил коорва, когда готовил рабочий отчет.","Редактор проверил корова, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_4_4,tsya_soft_delete,Нужно учиться быстро.,Нужно учится быстро.,4,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_4_4,tsya_soft_insert,Он учится быстро.,Он учиться быстро.,4,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_1_3,yo_e_candidate,,,0,False,,BLOCK_NO_CANDIDATE,no bounded probe example
