matrix_key,title,status,blocked_reason,requires,recommended_next_action
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_bukvy_i,Буквы «ъ» и «ь»,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_1_4_2,Буква «ь» как знак мягкости согласного,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_4_3,Буква «ь» после шипящих в некоторых грамматических формах,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova,Написание значимых частей слова,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_1,Безударные гласные в корнях,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_napisanie_otdelnyh_korney,Написание отдельных корней,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_napisanie_otdelnyh_korney_korni_s_chereduyuschimisya_glasnymi,Корни с чередующимися гласными,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_2_1_1,Корни с буквами «а» и «о»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_2_1_2,Корни с буквами «и» и «е»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_2_2,Трудные случаи написания корневых гласных,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_pristavkah,Безударные гласные в приставках,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_3_1,Написание букв на месте безударных гласных в приставках,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_3_3,Приставка раз- (рас-) / роз- (рос-),dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_3_4,Гласные на конце приставок и предлогов на безударный гласный,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_suffiksah,Безударные гласные в суффиксах,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_4_1,Суффиксы с проверяемыми безударными гласными,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_2,Суффиксы с непроверяемыми безударными гласными,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_3,"Гласный на конце основы в существительных на «-ий», «-ия», «-ие»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_suffiksah_osobennosti_napisaniya_otdelnyh_suffiksov,Особенности написания отдельных суффиксов,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_4_4_1,"Суффиксы -енн, -ян",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_2,"Суффиксы -ев, -ив, -лив, -чив",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_3,"Суффиксы -еньк, -оньк",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_4,"Суффиксы -очк , -ечк",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_5,"Суффиксы -ачий (-ячий), -ечий, -ичий",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_6,"Суффиксы -ек, -ик",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_7,"Суффиксы -инк, -енк, -анк (-янк)",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_8,"Суффиксы -иц, -ец",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_9,Суффикс -(м)ен,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_10,"Суффиксы -ышк , -ышек, -ешек и -ушк (-юшк), -ушек",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_11,"Суффиксы -инск , -енск",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_12,"Суффиксы -ошн, -ашн, -ешн, -ишн",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_13,"Суффиксы -ив, -ев",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_14,"Суффиксы -ущ (-ющ), -ащ (-ящ)",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_15,"Суффиксы -ем, -им, -емость, -имость",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_16,Суффиксы -анн (-янн) и -ан (-ян); -енн и -ен,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_17,"Особенности написания суффиксов -ыва (-ива), -ова (-ева)",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_18,Суффикс -ва,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_4_4_19,"Суффиксы -е(ть), -и(ть), -ене(ть), -ени(ть)",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_5,Беглые гласные в корнях и суффиксах существительных и прилагательных,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_6,Соединительные гласные,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_padezhnyh_okonchaniyah,Безударные гласные в падежных окончаниях,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_7_1,Написание букв в окончаниях по формам слов с тем же окончанием,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_1_2_7_2,"Написание в форме им. п. ед. ч. муж. рода прилагательных / слов, склоняющихся как прилагательные",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_1_2_7_3,"Окончания, содержащие гласные, не проверяемые ударной позицией",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_1_2_7_4,Безударные окончания у существительных с некоторыми суффиксами,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_1_2_7_5,"Падежные формы существительных на -ий, -ие, -ия",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_1_2_7_6,"Предлоги «в», «на», «по» с существительными на -ие, -ии",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_glagolnyh_formah,Безударные гласные в глагольных формах,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_8_1,Гласные в глагольных окончаниях,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_2_8_2,Гласные в инфинитиве перед -ть,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_chastitsy_ne_i_ni,Частицы не и ни,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_2_9_1,Одиночная частица «ни» перед словами «один» и «единый»,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_1_2_9_2,Частица «ни» в союзе «ни... ни»,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_1_2_9_5,Уступительные придаточные с частицей «ни»,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_1_2_9_6,"Конструкции «не кто иной», «не что иное»",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_1_2_9_7,Частица «не» в устойчивых сочетаниях,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_1_2_9_9,Основное употребление частицы «ни»,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_1_2_9_10,Основное употребление частицы «не»,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh,Правописание согласных,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_gluhie_i_zvonkie_soglasnye,Глухие и звонкие согласные,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_3_1_1,Парные глухие согласные,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_1_2,Написание непроверяемых согласных,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_1_3,"Слова с сочетаниями согласных «ск, ст, зг, зд»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_2,Непроизносимые согласные,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_gruppy_soglasnyh_na_styke_znachimyh_chastey_slova,Группы согласных на стыке значимых частей слова,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_3_3_1,Прилагательные с суффиксом «-ск»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_3_2,"Буквенные сочетания «тс», «дс», «тц» и «дц»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_3_3,"Буквенные сочетания «тч», «стч», «дч» и «здч»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_3_4,Буквенное сочетание «тч»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_3_5,"Буквенные сочетания «сч», «зч», «жч» и «шч»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_3_6,"Буквенные сочетания «сш», «сж», «зш» и «зж»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_3_7,"Буквенные сочетания «жс», «шс», «чс» и «щс»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_4,Буквы «ч» и «ш» перед «н» и «т»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_5,Буква «г» в окончаниях «-ого» и «-его»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_dvoynye_soglasnye,Двойные согласные,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_3_6_1,Двойные согласные на стыке приставки и корня,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_6_3,Двойное н и двойное с на стыке производящей основы и суффикса,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_6_10,Двойные согласные в заимствованных корнях,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_6_11,Двойные согласные после корня в заимствованных словах,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_6_12,"Двойные согласные в словах, образованных от основ на две одинаковые согласные",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_3_6_13,Двойные согласные при сокращении слов,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_nebukvennyh_znakov,Правила употребления небуквенных знаков,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_2_1,Дефис,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_2_2,Косая черта,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_2_3,Апостроф,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya,"Правила слитного, дефисного и раздельного написания",metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo,Написание существительного,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen,Написание нарицательных имён,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen_slitnoe_napisanie_naritsatelnyh_imen,Слитное написание нарицательных имён,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_1_1_1_1,Слитное написание сложносокращенных слов,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_3_1_1_1_2,Сложные существительные с соединительными гласными «о» и «е»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen_napisanie_naritsatelnyh_imen_cherez_defis,Написание нарицательных имён через дефис,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_1_1_2_1,"Сочетания двух существительных, первая часть с самостоятельным склонением",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_1_1_2_2,Сочетания с несклоняемыми существительными,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_1_1_2_3,Дефисное написание существительных,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_1_1_2_4,Сложные слова с несклоняемой первой частью в им. п. ед. ч. с нулевым окончанием,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_1_1_2_5,"Слова с первыми частями «диско-», «макси-», «миди-», «мини-»",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_1_1_2_6,Группы существительных с соединительными гласными,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_3_1_1_2_7,"Группа слов, обозначающих должности и звания",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_1_1_2_8,"Названия, имеющие форму словосочетаний со служебным словом",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_1_1_2_10,"Существительные, образованные от пишущихся через дефис нарицательных",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen_razdelnoe_napisanie_naritsatelnyh_imen,Раздельное написание нарицательных имён,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_1_1_4_1,"Сочетания с приложениями и определениями, следующими после существительных",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_sobstvennye_imena_i_sostavnye_nazvaniya,Собственные имена и составные названия,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_1_2_2,"Написание имён, псевдонимов, прозвищ, кличек через дефис",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo,Написание прилагательного,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo_napisanie_prilagatelnogo_cherez_defis,Написание прилагательного через дефис,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_2_1_1,"Прилагательные, образованные от существительных, пишущихся через дефис",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_2_1_2,"Дефисное написание прилагательных, обозначающих оттенки качества",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo_slitnoe_napisanie_prilagatelnogo,Слитное написание прилагательного,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_2_2_1,"Прилагательные с первыми частями много-, мало-",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_3_2_2_2,Прилагательные терминологического характера,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_3_2_2_5,"Прилагательные, образованные из основ слов с подчинительным отношением",planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo_razdelnoe_napisanie_prilagatelnogo,Раздельное написание прилагательного,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_2_3_1,Наречия и прилагательные или причастия,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_mestoimennyh_slov,Написание местоименных слов,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_4_1,Слитное написание местоименных слов,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_mestoimennyh_slov_napisanie_mestoimennyh_slov_cherez_defis,Написание местоименных слов через дефис,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_mestoimennyh_slov_razdelnoe_napisanie_mestoimennyh_slov,Раздельное написание местоименных слов,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_4_3_2,Сочетания с местоименными словами,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy,Написание наречий,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy_slitnoe_napisanie_narechiy,Слитное написание наречий,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_5_1_1,"Наречия, образованные с помощью приставок от наречий",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_1_2,"Наречия, образованные от имён прилагательных",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_1_3,"Наречия, образованные от местоименных слов",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_1_4,"Наречия, образованные с помощью приставок «в», «на» от собирательных числительных",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_1_5,Наречия с первой частью «впол-»,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_1_6,Наречия с пространственным и временным значениями,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_1_7,Слитное написание сочетаний с предлогами-приставками,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy_razdelnoe_napisanie_narechiy,Раздельное написание наречий,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_3_5_2_1,Раздельное написание сочетаний с предлогами-приставками,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_2_2,Наречные сочетания из предлога-приставки «с» и формы род. п. существительного на «-у (-а)»,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_2_3,"Наречные сочетания предлогов-приставок «в», «с» со второй частью, начинающейся с гласных",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_2_4,"Наречные сочетания, образованные повторением существительных или числительных с предлогом",syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_3_5_2_5,Наречные сочетания с существительным в разных падежах с предлогами,syntax_required,BLOCK_NEEDS_SYNTAX,"[""model"", ""syntax""]",add bounded syntax-backed candidate implementation
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy_napisanie_narechiy_cherez_defis,Написание наречий через дефис,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
