lemma,transitive,semantic_class,allow_object,allow_ne,past_masc,past_fem,past_neut,past_plur,present_3sg,present_3pl,infinitive
удалять,true,action,true,true,удалял,удаляла,удаляло,удаляли,удаляет,удаляют,удалять
сравнить,true,action,true,true,сравнил,сравнила,сравнило,сравнили,сравнит,сравнят,сравнить
сравнивать,true,action,true,true,сравнивал,сравнивала,сравнивало,сравнивали,сравнивает,сравнивают,сравнивать
помочь,false,action,false,true,помог,помогла,помогло,помогли,поможет,помогут,помочь
работать,false,action,false,true,работал,работала,работало,работали,работает,работают,работать
учиться,false,action,false,true,учился,училась,училось,учились,учится,учатся,учиться
проверять,true,action,true,true,проверял,проверяла,проверяло,проверяли,проверяет,проверяют,проверять
анализировать,true,data,true,true,анализировал,анализировала,анализировало,анализировали,анализирует,анализируют,анализировать
исследовать,true,cognition,true,true,исследовал,исследовала,исследовало,исследовали,исследует,исследуют,исследовать
сверить,true,comparison,true,true,сверил,сверила,сверило,сверили,сверит,сверят,сверить
сверять,true,comparison,true,true,сверял,сверяла,сверяло,сверяли,сверяет,сверяют,сверять
сопоставить,true,comparison,true,true,сопоставил,сопоставила,сопоставило,сопоставили,сопоставит,сопоставят,сопоставить
сопоставлять,true,comparison,true,true,сопоставлял,сопоставляла,сопоставляло,сопоставляли,сопоставляет,сопоставляют,сопоставлять
отредактировать,true,correction,true,true,отредактировал,отредактировала,отредактировало,отредактировали,отредактирует,отредактируют,отредактировать
редактировать,true,correction,true,true,редактировал,редактировала,редактировало,редактировали,редактирует,редактируют,редактировать
загрузить,true,file_action,true,true,загрузил,загрузила,загрузило,загрузили,загрузит,загрузят,загрузить
загружать,true,file_action,true,true,загружал,загружала,загружало,загружали,загружает,загружают,загружать
выгрузить,true,file_action,true,true,выгрузил,выгрузила,выгрузило,выгрузили,выгрузит,выгрузят,выгрузить
выгружать,true,file_action,true,true,выгружал,выгружала,выгружало,выгружали,выгружает,выгружают,выгружать
прикрепить,true,file_action,true,true,прикрепил,прикрепила,прикрепило,прикрепили,прикрепит,прикрепят,прикрепить
прикреплять,true,file_action,true,true,прикреплял,прикрепляла,прикрепляло,прикрепляли,прикрепляет,прикрепляют,прикреплять
переслать,true,communication,true,true,переслал,переслала,переслало,переслали,перешлёт,перешлют,переслать
пересылать,true,communication,true,true,пересылал,пересылала,пересылало,пересылали,пересылает,пересылают,пересылать
описать,true,content,true,true,описал,описала,описало,описали,опишет,опишут,описать
обучить,true,education,true,true,обучил,обучила,обучило,обучили,обучит,обучат,обучить
обучать,true,education,true,true,обучал,обучала,обучало,обучали,обучает,обучают,обучать
наблюдать,true,perception,true,true,наблюдал,наблюдала,наблюдало,наблюдали,наблюдает,наблюдают,наблюдать
отследить,true,perception,true,true,отследил,отследила,отследило,отследили,отследит,отследят,отследить
отслеживать,true,perception,true,true,отслеживал,отслеживала,отслеживало,отслеживали,отслеживает,отслеживают,отслеживать
тестировать,true,action,true,true,тестировал,тестировала,тестировало,тестировали,тестирует,тестируют,тестировать
протестировать,true,action,true,true,протестировал,протестировала,протестировало,протестировали,протестирует,протестируют,протестировать
уточнить,true,speech,true,true,уточнил,уточнила,уточнило,уточнили,уточнит,уточнят,уточнить
уточнять,true,speech,true,true,уточнял,уточняла,уточняло,уточняли,уточняет,уточняют,уточнять
сформировать,true,action,true,true,сформировал,сформировала,сформировало,сформировали,сформирует,сформируют,сформировать
формировать,true,action,true,true,формировал,формировала,формировало,формировали,формирует,формируют,формировать
пояснить,true,speech,true,true,пояснил,пояснила,пояснило,пояснили,пояснит,пояснят,пояснить
пояснять,true,speech,true,true,пояснял,поясняла,поясняло,поясняли,поясняет,поясняют,пояснять
спать,false,state,false,true,спал,спала,спало,спали,спит,спят,спать
думать,false,cognition,false,true,думал,думала,думало,думали,думает,думают,думать
улыбнуться,false,emotion,false,true,улыбнулся,улыбнулась,улыбнулось,улыбнулись,улыбнётся,улыбнутся,улыбнуться
улыбаться,false,emotion,false,true,улыбался,улыбалась,улыбалось,улыбались,улыбается,улыбаются,улыбаться
молчать,false,speech,false,true,молчал,молчала,молчало,молчали,молчит,молчат,молчать
стоять,false,state,false,true,стоял,стояла,стояло,стояли,стоит,стоят,стоять
лежать,false,state,false,true,лежал,лежала,лежало,лежали,лежит,лежат,лежать
существовать,false,state,false,true,существовал,существовала,существовало,существовали,существует,существуют,существовать
произойти,false,event,false,true,произошёл,произошла,произошло,произошли,произойдёт,произойдут,произойти
начаться,false,event,false,true,начался,началась,началось,начались,начнётся,начнутся,начаться
закончиться,false,event,false,true,закончился,закончилась,закончилось,закончились,закончится,закончатся,закончиться
пройти,false,event,false,true,прошёл,прошла,прошло,прошли,пройдёт,пройдут,пройти
длиться,false,event,false,true,длился,длилась,длилось,длились,длится,длятся,длиться
негодовать,false,emotion,false,false,негодовал,негодовала,негодовало,негодовали,негодует,негодуют,негодовать
недомогать,false,state,false,false,недомогал,недомогала,недомогало,недомогали,недомогает,недомогают,недомогать
недоумевать,false,cognition,false,false,недоумевал,недоумевала,недоумевало,недоумевали,недоумевает,недоумевают,недоумевать
включать,true,content,true,true,включал,включала,включало,включали,включает,включают,включать
вызывать,true,causation,true,true,вызывал,вызывала,вызывало,вызывали,вызывает,вызывают,вызывать
задать,true,communication,true,true,задал,задала,задало,задали,задаст,зададут,задать
затронуть,true,causation,true,true,затронул,затронула,затронуло,затронули,затронет,затронут,затронуть
купить,true,buying,true,true,купил,купила,купило,купили,купит,купят,купить
назначить,true,meeting_work,true,true,назначил,назначила,назначило,назначили,назначит,назначат,назначить
находиться,false,location,false,true,находился,находилась,находилось,находились,находится,находятся,находиться
обновить,true,file_action,true,true,обновил,обновила,обновило,обновили,обновит,обновят,обновить
обработать,true,data,true,true,обработал,обработала,обработало,обработали,обработает,обработают,обработать
описывать,true,content,true,true,описывал,описывала,описывало,описывали,описывает,описывают,описывать
опубликовать,true,publication,true,true,опубликовал,опубликовала,опубликовало,опубликовали,опубликует,опубликуют,опубликовать
отклонить,true,approval,true,true,отклонил,отклонила,отклонило,отклонили,отклонит,отклонят,отклонить
отменить,true,event_work,true,true,отменил,отменила,отменило,отменили,отменит,отменят,отменить
переместить,true,movement,true,true,переместил,переместила,переместило,переместили,переместит,переместят,переместить
поставить,true,placement,true,true,поставил,поставила,поставило,поставили,поставит,поставят,поставить
проанализировать,true,data,true,true,проанализировал,проанализировала,проанализировало,проанализировали,проанализирует,проанализируют,проанализировать
прочитать,true,reading,true,true,прочитал,прочитала,прочитало,прочитали,прочитает,прочитают,прочитать
рассчитать,true,calculation,true,true,рассчитал,рассчитала,рассчитало,рассчитали,рассчитает,рассчитают,рассчитать
регулировать,true,regulation,true,true,регулировал,регулировала,регулировало,регулировали,регулирует,регулируют,регулировать
содержать,true,content,true,true,содержал,содержала,содержало,содержали,содержит,содержат,содержать
состояться,false,event,false,true,состоялся,состоялась,состоялось,состоялись,состоится,состоятся,состояться
сохранить,true,storage,true,true,сохранил,сохранила,сохранило,сохранили,сохранит,сохранят,сохранить
съесть,true,biological_action,true,true,съел,съела,съело,съели,съест,съедят,съесть
требовать,true,content,true,true,требовал,требовала,требовало,требовали,требует,требуют,требовать
устранить,true,correction,true,true,устранил,устранила,устранило,устранили,устранит,устранят,устранить
утвердить,true,approval,true,true,утвердил,утвердила,утвердило,утвердили,утвердит,утвердят,утвердить
