source_dataset,source,target,reason,edit_summary,detected_error_types,candidate_present
spellcheck_punctuation_benchmark,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,"Поговорила с директором, и он мне обещал позвонить вечером и сказать, берёт он меня на работу.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:п->П:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,"Съездил потом в РКБ, оказалось, что на нём 3 царапины, купил мази и капли.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:с->С:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,"Но, даже когда мы приблизились к нижнему уровню замка, я поверить не могла, что он такой огромный, как показывалось на карте.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:н->Н:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,"Давно стоит понять, что в этой жизни никто не сделает так, как лучше тебе.",disallowed_error_type,"final_punctuation:->.:unknown; spelling_replace:зделает->сделает:sdelat_prefix; case_change:д->Д:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,а вообще конечно не представляю как все писят лет все забавляются над дядькой,"А вообще, конечно, не представляю, как все пятьдесят лет все забавляются над дядькой.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:а->А:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,"Отработав под палящим магдалиновским солнцем, народ ринулся к воде, к самой чистой в...",disallowed_error_type,"final_punctuation:->.:unknown; case_change:о->О:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->.:unknown; punctuation_insert:->.:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,акцент в последнем предложении правда не совсем понятен,"Акцент в последнем предложении, правда, не совсем понятен.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:а->А:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,В детстве я был толстым кучерявым и чрезвычайно прожорливым блондином.,disallowed_error_type,final_punctuation:->.:unknown; case_change:в->В:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,он сейчас в отъезде но почту проверять должен переодически,"Он сейчас в отъезде, но почту проверять должен периодически.",disallowed_error_type,"final_punctuation:->.:unknown; spelling_replace:переодически->периодически:frequent_error_exact; case_change:о->О:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,колодцы практически везде оборудованы вот такими колесами наверное традиция,"Колодцы практически везде оборудованы вот такими колёсами, наверное, традиция.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:к->К:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,через пару минут он возращаеться и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы енти это отдельная история енто были огромные бокалы под коктель маргарита,"Через пару минут он возвращается и приносит два стакана. Честно говоря, я так и не понял, почему два. Ну да ладно, нам не привыкать, и когда я ему объяснил, что нужно было три, он долго порывался сбегать ещё раз, но, видя какие стаканы он принёс, я понял, что лучше пить из горла, а стаканы, или даже, точнее, бокалы эти, - это отдельная история: это были огромные бокалы под коктейль ""Маргарита"".",too_many_tokens,,[],False
spellcheck_punctuation_benchmark,живет где надо тормозит где надо разгоняется ставит цели и достегает их или просто сидит дома смотрит аниме,"Живёт, где надо, тормозит, где надо, разгоняется, ставит цели и достигает их или просто сидит дома, смотрит аниме.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:ж->Ж:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,на второй день своего прибывания в общаге я заметил теннисный стол в общей комнате в доме напротив,На второй день своего пребывания в общаге я заметил теннисный стол в общей комнате в доме напротив.,disallowed_error_type,final_punctuation:->.:unknown; spelling_replace:прибывания->пребывания:prefix_pre_pri; case_change:н->Н:unknown,"[""case"", ""final_punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось,"Последние пять тысяч лет человеческая нога туда не ступала, даже у восьмого департамента что-то не сложилось.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:п->П:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,шеф просил учавствовать в тендере ceo,Шеф просил участвовать в тендере СЕО.,disallowed_error_type,final_punctuation:->.:unknown; case_change:ш->Ш:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,а теперь смотрите чтоже мы увидили,"А теперь смотрите, что же мы увидели:",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,я не тьолка я девачка,"Я не тёлка, я девочка.",char_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,в общем началась война и через два года оба племени истребили друг друга полностью,"В общем, началась война, и через два года оба племени истребили друг друга полностью.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:в->В:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,интересный эффект гротескной иллюзии,Интересный эффект гротескной иллюзии.,too_few_tokens,,[],False
spellcheck_punctuation_benchmark,а вот чего они там таким составом делали это уже сложней,А вот чего они там таким составом делали - это уже сложней.,disallowed_error_type,final_punctuation:->.:unknown; case_change:а->А:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,я в российские агенства не верю,Я в российские агентства не верю.,disallowed_error_type,final_punctuation:->.:unknown; case_change:я->Я:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки,Уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки.,disallowed_error_type,final_punctuation:->.:unknown; case_change:у->У:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,длина 10 8 км а ширена в самом широком месте достегает 4 км,"Длина - 10.8 км, а ширина в самом широком месте достигает 4 км.",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем,"Дело и в том, что Белоруссия - единственная постсоветская республика, которая смогла переломить предначертанный ей ход событий, остаться независимой и идти собственным путём.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:д->Д:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,да впринципе ниче особого говорю так как есть,"Да в принципе ничего особого, говорю так, как есть.",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,чесно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось,"Честно говоря, выбора у нас особого не было, как добираться до Питера, потому что самолёт дорого, а на машине я ехать отказалась, потому что жалко мне и водителя одного и ребёнка мучить не хотелось.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:ч->Ч:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,помоему надо их уже ставить к стенке и просто в тупую растреливать,"По-моему, надо их уже ставить к стенке и просто в тупую расстреливать.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:п->П:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,и незря эту песню перепевали 100 тысяч раз,И не зря эту песню перепевали 100 тысяч раз.,token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно,"Короче, у вожатого имеется реальная маза недели две, а то и три славно пожить на полном государственном обеспечении, плюс детские сонники, разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:к->К:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших,"Уже в конце 20-го века на западе не вступивших в брак женщин было столько же, сколько вступивших.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:у->У:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,на сайте асинхронные машины откапал всю нужную информацию,"На сайте ""Асинхронные машины"" откопал всю нужную информацию.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:н->Н:unknown; punctuation_insert:->"":unknown; punctuation_insert:->"":unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,к середине десятилетия увлечение вампирами изжевало себя,К середине десятилетия увлечение вампирами изживало себя.,disallowed_error_type,final_punctuation:->.:unknown; case_change:к->К:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,жека довел торги до 1000 но охранник не приклонился хотя оч хотел,"Жека довёл торги до 1000, но охранник не преклонился, хотя очень хотел.",disallowed_error_type,"final_punctuation:->.:unknown; spelling_replace:приклонился->преклонился:prefix_pre_pri; case_change:ж->Ж:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,оделась на голове чтото путно едаже соорудила вопреки опять же всему,"Оделась, на голове что-то путное даже соорудила, вопреки опять же всему.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:о->О:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,вдруг привычный черный небосвод распахивается слепящим кругом и жуткий нержавеющей стали черпак ворошит уносит комья потом небосвод захлопывается с громогласным звоном,"Вдруг привычный чёрный небосвод распахивается слепящим кругом, и жуткий нержавеющей стали черпак ворошит, уносит комья, потом небосвод захлопывается с громогласным звоном.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:в->В:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,с шумом как то более театрально помойму,"С шумом как-то более театрально, по-моему.",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,длинная картинка в альбоме контакта,Длинная картинка в альбоме контакта.,disallowed_error_type,final_punctuation:->.:unknown; case_change:д->Д:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,в нос вставьте ватку так чтобы воздух проходил но была бы легкая одышка,"В нос вставьте ватку, так, чтобы воздух проходил, но была бы лёгкая одышка.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:в->В:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,может и в правду лутче тебе молчать чем пытаться сказать,"Может, и вправду лучше тебе молчать, чем пытаться сказать...",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,в течение часа самолет находился над целью отвлекая на себя огонь вражеских зениток,"В течение часа самолёт находился над целью, отвлекая на себя огонь вражеских зениток.",forbidden_domain_noise,,[],False
spellcheck_punctuation_benchmark,не доверят то что очень хочеться попробывать и из-за этого какой-то неполноценной себя чувствовать начинаешь,"Не доверят то, что очень хочется попробовать, и из-за этого какой-то неполноценной себя чувствовать начинаешь.",disallowed_error_type,"final_punctuation:->.:unknown; spelling_replace:хочеться->хочется:frequent_error_exact; case_change:н->Н:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,было бы желание а уж понятия тоталитарная секта и деструктивный культ всегда готовы принять в свои безразмерные объятия всякого кого нужно ничтоже сумняшеся заклеймить не утруждая себя задуматься о последствиях бездумного обращения с такими ярлыками-страшилками,"Было бы желание, а уж понятия: ""тоталитарная секта"" и ""деструктивный культ"" всегда готовы принять в свои безразмерные объятия всякого, кого нужно ничтоже сумняшеся заклеймить, не утруждая себя задуматься о последствиях бездумного обращения с такими ярлыками-страшилками.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:б->Б:unknown; punctuation_insert:->,:unknown; punctuation_insert:->::unknown; punctuation_insert:->"":unknown; punctuation_insert:->"":unknown; punctuation_insert:->"":unknown; punctuation_insert:->"":unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,меня радует что сейчас у меня перед глазами совесм другие примеры я по-любому буду следовать им и это хорошо что я уже сейчас знаю что такое слинг и сс и почему ребенка нужно класть на живот,"Меня радует, что сейчас у меня перед глазами совсем другие примеры, я по-любому буду следовать им, и это хорошо, что я уже сейчас знаю, что такое слинг и СС и почему ребенка нужно класть на живот.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:м->М:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,оказался я тут в первый и надеюсь последний раз,"Оказался я тут в первый и, надеюсь, последний раз.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:о->О:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,сегодня китай закупает более двух третей произведенной в судане нефти,Сегодня Китай закупает более двух третей произведенной в Судане нефти.,disallowed_error_type,final_punctuation:->.:unknown; case_change:с->С:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,многие ультра-националисты и другие люди положительно бы отнеслись к подобному решению вопроса,Многие ультранационалисты и другие люди положительно бы отнеслись к подобному решению вопроса.,disallowed_error_type,final_punctuation:->.:unknown; case_change:м->М:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,найдены также остатки мыла которое викинги делали самостоятельно,"Найдены также остатки мыла, которое викинги делали самостоятельно.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:н->Н:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,география его выступлений достегает индии англии венгрии португалии голландии финляндии,"География его выступлений достигает Индии, Англии, Венгрии, Португалии, Голландии, Финляндии.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:г->Г:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,после моего доклада программа была паб-ресторан-паб после чего такси ловил нетвердо стоя на ногах,"После моего доклада программа была ""паб-ресторан-паб"", после чего такси ловил, нетвёрдо стоя на ногах.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:п->П:unknown; punctuation_insert:->"":unknown; punctuation_insert:->"":unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,только вот не хочеться мне одной делать такие героическии поступки,Только вот не хочется мне одной делать такие героические поступки.,disallowed_error_type,final_punctuation:->.:unknown; spelling_replace:хочеться->хочется:frequent_error_exact; case_change:т->Т:unknown,"[""case"", ""final_punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,обажаю гулять по вечерам только редко удается,"Обожаю гулять по вечерам, только редко удаётся.",disallowed_error_type,"final_punctuation:->.:unknown; spelling_replace:обажаю->обожаю:frequent_error_exact; case_change:о->О:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,и песня вертинского мне кажется эти сомнения подкрепляет,"И песня Вертинского, мне кажется, эти сомнения подкрепляет.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:и->И:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,а вот про поликлиники бесплатные очнь хорошо понимаю,А вот про поликлиники бесплатные очень хорошо понимаю.,disallowed_error_type,final_punctuation:->.:unknown; case_change:а->А:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,только не сделай мне уроки воть покажу те тогда кузькину мать,"Только не сделай мне уроки, вот покажу тебе тогда Кузькину мать!",disallowed_error_type,"final_punctuation:->!:unknown; case_change:т->Т:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,выставлять борцами за свободу золотую молодежь 60-х и тех кто к ней прибивался,"Выставлять борцами за свободу золотую молодёжь 60-х и тех, кто к ней прибивался.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:в->В:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,его родители довили на него они очень хотели чтобы их сын был счастлив,"Его родители давили на него, они очень хотели, чтобы их сын был счастлив.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:е->Е:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,внутренний национальный конфликт зрел давно и ктото умело воспользовался этим в своих целях,"Внутренний национальный конфликт зрел давно, и кто-то умело воспользовался этим в своих целях.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:в->В:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,но есть настоящие женщины взять хотябы гурченко ротару или вот мою любимицу милен которая почти в полтийник выглядит как конфетка,"Но есть настоящие женщины - взять хотя бы Гурченко, Ротару или вот мою любимицу Милен, которая почти в полтинник выглядит как конфетка.",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,известный российский правозащитник александр брод не вошедший в число кандидатов в новый состав спч объявил голодовку в знак протеста против непрозрачности выборов в спч,"Известный российский правозащитник Александр Брод, не вошедший в число кандидатов в новый состав СПЧ, объявил голодовку в знак протеста против непрозрачности выборов в СПЧ.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:и->И:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,ушли все довольные в шерсти и опять ничерта на выспались,"Ушли все довольные, в шерсти, и опять ни черта не выспались.",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,за последние недели мне пришлось четыре раза пересекать западные саяны на такси больше четырехсот километров в один конец,За последние недели мне пришлось четыре раза пересекать Западные Саяны на такси - больше четырёхсот километров в один конец.,disallowed_error_type,final_punctuation:->.:unknown; case_change:з->З:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,а не правильно то что каждый участник дорожного движения должен ехать в своей полосе так же как и мотоциклист и нечего лезть меж машин если не пускают а мож она там губы красила и не заметила его всякое бывает,"А неправильно то, что каждый участник дорожного движения должен ехать в своей полосе, так же как и мотоциклист, и нечего лезть меж машин, если не пускают. А может, она там губы красила и не заметила его: всякое бывает.",disallowed_error_type,"final_punctuation:->.:unknown; join_words:не правильно->неправильно:ne_adverb; case_change:а->А:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->.:unknown; punctuation_insert:->,:unknown; punctuation_insert:->::unknown","[""case"", ""final_punctuation"", ""punctuation"", ""split_join""]",True
spellcheck_punctuation_benchmark,изретко меня спрашивают что собсно произошло вообщем ладно они ругаются мы ждем криминальную полицию,"Изредка меня спрашивают, что, собственно, произошло. В общем, ладно, они ругаются, мы ждём криминальную полицию.",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,я сначало подумал причем здесь жарков,"Я сначала подумал, при чём здесь Жарков?",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,за это нада выпеть,За это надо выпить!,too_few_tokens,,[],False
spellcheck_punctuation_benchmark,есть огромное желание поехать туда на весь день тогда можно будет выжать из этого места все,"Есть огромное желание поехать туда на весь день, тогда можно будет выжать из этого места всё.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:е->Е:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,миллион тому примеров что простые эмоции простые предметы и окружение порой гораздо интереснее заморской экзотики,"Миллион тому примеров, что простые эмоции, простые предметы и окружение порой гораздо интереснее заморской экзотики.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:м->М:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,давеча выясняли чтоже такое романтика,"Давеча выясняли, что же такое ""романтика"".",token_edit_distance_too_high,,[],False
spellcheck_punctuation_benchmark,вродь уже подумала что все нормуль что и так бывает нормально,"Вроде уже подумала, что всё нормуль, что и так бывает, нормально.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:в->В:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,как бы ни хотелось умным девочкам вскрыть аццкий плагиат на деле все просто,"Как бы ни хотелось умным девочкам вскрыть адский плагиат, на деле всё просто.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:к->К:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
