row_index,category,rule_hint,source_text,target_text,candidate_source,candidate_replacement,edit_type,rule_id,score,threshold,selected,threshold_passed,validator_status,validator_reason,is_expected,is_expected_v2
5,frequent_spelling_exact,frequent_error_exact,безпокойный.,беспокойный.,безпокойный,Безпокойный,case,capitalization_sentence_start,0.850565493106842,0.98,False,False,,,False,False
5,frequent_spelling_exact,frequent_error_exact,безпокойный.,беспокойный.,безпокойный,безоконный,spelling,dictionary_fuzzy,0.8223466873168945,0.95,False,False,,,False,False
6,frequent_spelling_exact,frequent_error_exact,безполезный.,бесполезный.,безполезный,бесполезный,spelling,dictionary_fuzzy,0.8766242861747742,0.95,False,False,,,True,True
6,frequent_spelling_exact,frequent_error_exact,безполезный.,бесполезный.,безполезный,Безполезный,case,capitalization_sentence_start,0.8477018475532532,0.98,False,False,,,False,False
6,frequent_spelling_exact,frequent_error_exact,безполезный.,бесполезный.,безполезный,бесполезны,spelling,dictionary_fuzzy,0.6988211274147034,0.95,False,False,,,False,False
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,безумный,spelling,extra_letter_candidate,0.6838878393173218,0.95,False,False,,,False,False
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,бездумный,spelling,keyboard_typo_candidate,0.6503364443778992,0.95,False,False,,,False,False
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,бесшумный,spelling,frequent_error_exact,0.5790483951568604,0.95,False,False,,,True,True
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,Безшумный,case,capitalization_sentence_start,0.5186693668365479,0.98,False,False,,,False,False
8,frequent_spelling_exact,frequent_error_exact,бесвкусный.,безвкусный.,бесвкусный,безвкусный,spelling,dictionary_fuzzy,0.7932679653167725,0.95,False,False,,,True,True
8,frequent_spelling_exact,frequent_error_exact,бесвкусный.,безвкусный.,бесвкусный,Бесвкусный,case,capitalization_sentence_start,0.7778688073158264,0.98,False,False,,,False,False
8,frequent_spelling_exact,frequent_error_exact,бесвкусный.,безвкусный.,бесвкусный,безвкусны,spelling,dictionary_fuzzy,0.6237210035324097,0.95,False,False,,,False,False
9,frequent_spelling_exact,frequent_error_exact,бесграмотный.,безграмотный.,бесграмотный,безграмотный,spelling,dictionary_fuzzy,0.8216105103492737,0.95,False,False,,,True,True
9,frequent_spelling_exact,frequent_error_exact,бесграмотный.,безграмотный.,бесграмотный,Бесграмотный,case,capitalization_sentence_start,0.8078111410140991,0.98,False,False,,,False,False
9,frequent_spelling_exact,frequent_error_exact,бесграмотный.,безграмотный.,бесграмотный,безграмотны,spelling,dictionary_fuzzy,0.6655066609382629,0.95,False,False,,,False,False
10,frequent_spelling_exact,frequent_error_exact,вада.,вода.,вада,вода,spelling,frequent_error_exact,0.3526351749897003,0.95,False,False,,,True,True
10,frequent_spelling_exact,frequent_error_exact,вада.,вода.,вада,Вада,case,capitalization_sentence_start,0.2463051080703735,0.98,False,False,,,False,False
11,split_join_exact,frequent_error_exact,вобщем.,в общем.,вобщем,воющем,spelling,keyboard_typo_candidate,0.3231201469898224,0.95,False,False,,,False,False
11,split_join_exact,frequent_error_exact,вобщем.,в общем.,вобщем,в общем,split_join,frequent_error_exact,0.2484247386455536,0.95,False,False,,,True,True
11,split_join_exact,frequent_error_exact,вобщем.,в общем.,вобщем,Вобщем,case,capitalization_sentence_start,0.2200627326965332,0.98,False,False,,,False,False
11,split_join_exact,frequent_error_exact,вобщем.,в общем.,вобщем,общем,spelling,extra_letter_candidate,0.2168805599212646,0.95,False,False,,,False,False
12,split_join_exact,frequent_error_exact,вообщем.,в общем.,вообщем,вообще,spelling,extra_letter_candidate,0.2557660043239593,0.95,False,False,,,False,False
12,split_join_exact,frequent_error_exact,вообщем.,в общем.,вообщем,в общем,split_join,frequent_error_exact,0.2055395990610122,0.95,False,False,,,True,True
12,split_join_exact,frequent_error_exact,вообщем.,в общем.,вообщем,Вообщем,case,capitalization_sentence_start,0.1884595155715942,0.98,False,False,,,False,False
13,split_join_exact,frequent_error_exact,врядли.,вряд ли.,врядли,Врядли,case,capitalization_sentence_start,0.4322831332683563,0.98,False,False,,,False,False
13,split_join_exact,frequent_error_exact,врядли.,вряд ли.,врядли,вряд ли,split_join,frequent_error_exact,0.4239646196365356,0.95,False,False,,,True,True
14,split_join_exact,frequent_error_exact,всмысле.,в смысле.,всмысле,в смысле,split_join,frequent_error_exact,0.3794134259223938,0.95,False,False,,,True,True
14,split_join_exact,frequent_error_exact,всмысле.,в смысле.,всмысле,вымысле,spelling,keyboard_typo_candidate,0.354466825723648,0.95,False,False,,,False,False
14,split_join_exact,frequent_error_exact,всмысле.,в смысле.,всмысле,Всмысле,case,capitalization_sentence_start,0.2792978584766388,0.98,False,False,,,False,False
14,split_join_exact,frequent_error_exact,всмысле.,в смысле.,всмысле,смысле,spelling,extra_letter_candidate,0.2507995069026947,0.95,False,False,,,False,False
15,frequent_spelling_exact,frequent_error_exact,вюга.,вьюга.,вюга,юга,spelling,extra_letter_candidate,0.6463205218315125,0.95,False,False,,,False,False
15,frequent_spelling_exact,frequent_error_exact,вюга.,вьюга.,вюга,вьюга,spelling,missing_letter_candidate,0.5058960914611816,0.95,False,False,,,True,True
15,frequent_spelling_exact,frequent_error_exact,вюга.,вьюга.,вюга,Вюга,case,capitalization_sentence_start,0.4961297810077667,0.98,False,False,,,False,False
16,frequent_spelling_exact,frequent_error_exact,граматика.,грамматика.,граматика,грамматика,spelling,double_consonant_candidate,0.5621132850646973,0.84,False,False,,,True,True
16,frequent_spelling_exact,frequent_error_exact,граматика.,грамматика.,граматика,грамматик,spelling,dictionary_fuzzy,0.416208267211914,0.95,False,False,,,False,False
16,frequent_spelling_exact,frequent_error_exact,граматика.,грамматика.,граматика,Граматика,case,capitalization_sentence_start,0.3038842380046844,0.98,False,False,,,False,False
17,frequent_spelling_exact,frequent_error_exact,делаеться.,делается.,делаеться,делается,spelling,extra_letter_candidate,0.3399948477745056,0.95,False,False,,,True,True
17,frequent_spelling_exact,frequent_error_exact,делаеться.,делается.,делаеться,делаться,spelling,extra_letter_candidate,0.2557141184806824,0.95,False,False,,,False,False
17,frequent_spelling_exact,frequent_error_exact,делаеться.,делается.,делаеться,Делаеться,case,capitalization_sentence_start,0.2258946746587753,0.98,False,False,,,False,False
18,frequent_spelling_exact,frequent_error_exact,деревяный.,деревянный.,деревяный,деревянный,spelling,double_consonant_candidate,0.9650704860687256,0.84,True,True,accepted,trusted bounded candidate,True,True
18,frequent_spelling_exact,frequent_error_exact,деревяный.,деревянный.,деревяный,деревины,spelling,dictionary_fuzzy,0.9317687749862672,0.95,False,False,,,False,False
18,frequent_spelling_exact,frequent_error_exact,деревяный.,деревянный.,деревяный,Деревяный,case,capitalization_sentence_start,0.8840304017066956,0.98,False,False,,,False,False
18,frequent_spelling_exact,frequent_error_exact,деревяный.,деревянный.,деревянный,Деревянный,case,capitalization_sentence_start,0.8275027275085449,0.98,False,False,,,False,False
19,frequent_spelling_exact,frequent_error_exact,дешовый.,дешевый.,дешовый,дековый,spelling,dictionary_fuzzy,0.658917248249054,0.95,False,False,,,False,False
19,frequent_spelling_exact,frequent_error_exact,дешовый.,дешевый.,дешовый,Дешовый,case,capitalization_sentence_start,0.3517597317695617,0.98,False,False,,,False,False
19,frequent_spelling_exact,frequent_error_exact,дешовый.,дешевый.,дешовый,дешевый,spelling,frequent_error_exact,0.3085911273956299,0.95,False,False,,,True,True
19,frequent_spelling_exact,frequent_error_exact,дешовый.,дешевый.,дешовый,дешёвый,spelling,dictionary_fuzzy,0.2573511004447937,0.95,False,False,,,False,False
20,frequent_spelling_exact,frequent_error_exact,длиный.,длинный.,длиный,длины,spelling,extra_letter_candidate,0.3986755013465881,0.95,False,False,,,False,False
20,frequent_spelling_exact,frequent_error_exact,длиный.,длинный.,длиный,Длиный,case,capitalization_sentence_start,0.2647448480129242,0.98,False,False,,,False,False
20,frequent_spelling_exact,frequent_error_exact,длиный.,длинный.,длиный,длинный,spelling,double_consonant_candidate,0.2194944471120834,0.84,False,False,,,True,True
21,frequent_spelling_exact,frequent_error_exact,жолтый.,желтый.,жолтый,желтый,spelling,frequent_error_exact,0.5273205041885376,0.95,False,False,,,True,True
21,frequent_spelling_exact,frequent_error_exact,жолтый.,желтый.,жолтый,жёлтый,spelling,dictionary_fuzzy,0.3852577209472656,0.95,False,False,,,False,False
21,frequent_spelling_exact,frequent_error_exact,жолтый.,желтый.,жолтый,Жолтый,case,capitalization_sentence_start,0.2245485186576843,0.98,False,False,,,False,False
21,frequent_spelling_exact,frequent_error_exact,жолтый.,желтый.,жолтый,жолты,spelling,extra_letter_candidate,0.2014441192150116,0.95,False,False,,,False,False
22,frequent_spelling_exact,frequent_error_exact,жывой.,живой.,жывой,живой,spelling,dictionary_fuzzy,0.4291243553161621,0.95,False,False,,,True,True
22,frequent_spelling_exact,frequent_error_exact,жывой.,живой.,жывой,Жывой,case,capitalization_sentence_start,0.347682774066925,0.98,False,False,,,False,False
23,frequent_spelling_exact,frequent_error_exact,жывотное.,животное.,жывотное,животное,spelling,dictionary_fuzzy,0.5384084582328796,0.95,False,False,,,True,True
23,frequent_spelling_exact,frequent_error_exact,жывотное.,животное.,жывотное,Жывотное,case,capitalization_sentence_start,0.5027024149894714,0.98,False,False,,,False,False
24,frequent_spelling_exact,frequent_error_exact,жызнь.,жизнь.,жызнь,жизнь,spelling,dictionary_fuzzy,0.7180141806602478,0.95,False,False,,,True,True
24,frequent_spelling_exact,frequent_error_exact,жызнь.,жизнь.,жызнь,Жызнь,case,capitalization_sentence_start,0.3908320963382721,0.98,False,False,,,False,False
25,frequent_spelling_exact,frequent_error_exact,зделал.,сделал.,зделал,сделал,spelling,frequent_error_exact,0.6751135587692261,0.95,False,False,,,True,True
25,frequent_spelling_exact,frequent_error_exact,зделал.,сделал.,зделал,Зделал,case,capitalization_sentence_start,0.6207736730575562,0.98,False,False,,,False,False
25,frequent_spelling_exact,frequent_error_exact,зделал.,сделал.,зделал,делал,spelling,extra_letter_candidate,0.6077395081520081,0.95,False,False,,,False,False
25,frequent_spelling_exact,frequent_error_exact,зделал.,сделал.,зделал,заделал,spelling,missing_letter_candidate,0.5083240270614624,0.95,False,False,,,False,False
26,frequent_spelling_exact,frequent_error_exact,зделать.,сделать.,зделать,сделать,spelling,frequent_error_exact,0.5482293367385864,0.95,False,False,,,True,True
26,frequent_spelling_exact,frequent_error_exact,зделать.,сделать.,зделать,Зделать,case,capitalization_sentence_start,0.4764845669269562,0.98,False,False,,,False,False
26,frequent_spelling_exact,frequent_error_exact,зделать.,сделать.,зделать,делать,spelling,extra_letter_candidate,0.4750044047832489,0.95,False,False,,,False,False
26,frequent_spelling_exact,frequent_error_exact,зделать.,сделать.,зделать,заделать,spelling,missing_letter_candidate,0.3650144040584564,0.95,False,False,,,False,False
27,frequent_spelling_exact,frequent_error_exact,искуственный.,искусственный.,искуственный,искусственный,spelling,double_consonant_candidate,0.5960801839828491,0.84,False,False,,,True,True
27,frequent_spelling_exact,frequent_error_exact,искуственный.,искусственный.,искуственный,искусственны,spelling,dictionary_fuzzy,0.5351282954216003,0.95,False,False,,,False,False
27,frequent_spelling_exact,frequent_error_exact,искуственный.,искусственный.,искуственный,Искуственный,case,capitalization_sentence_start,0.453176349401474,0.98,False,False,,,False,False
28,frequent_spelling_exact,frequent_error_exact,кажеться.,кажется.,кажеться,кажется,spelling,extra_letter_candidate,0.3454671800136566,0.95,False,False,,,True,True
28,frequent_spelling_exact,frequent_error_exact,кажеться.,кажется.,кажеться,кажешься,spelling,dictionary_fuzzy,0.1550880223512649,0.95,False,False,,,False,False
28,frequent_spelling_exact,frequent_error_exact,кажеться.,кажется.,кажеться,Кажеться,case,capitalization_sentence_start,0.1420532464981079,0.98,False,False,,,False,False
29,frequent_spelling_exact,frequent_error_exact,карова.,корова.,карова,корова,spelling,frequent_error_exact,0.7276010513305664,0.95,False,False,,,True,True
29,frequent_spelling_exact,frequent_error_exact,карова.,корова.,карова,варова,spelling,keyboard_typo_candidate,0.493474006652832,0.95,False,False,,,False,False
29,frequent_spelling_exact,frequent_error_exact,карова.,корова.,карова,Карова,case,capitalization_sentence_start,0.374876469373703,0.98,False,False,,,False,False
29,frequent_spelling_exact,frequent_error_exact,карова.,корова.,карова,кирова,spelling,keyboard_typo_candidate,0.1613600403070449,0.95,False,False,,,False,False
30,frequent_spelling_exact,frequent_error_exact,колектив.,коллектив.,колектив,коллектив,spelling,double_consonant_candidate,0.6849385499954224,0.84,False,False,,,True,True
30,frequent_spelling_exact,frequent_error_exact,колектив.,коллектив.,колектив,Колектив,case,capitalization_sentence_start,0.4645061790943146,0.98,False,False,,,False,False
30,frequent_spelling_exact,frequent_error_exact,колектив.,коллектив.,колектив,колесив,spelling,dictionary_fuzzy,0.4109299778938293,0.95,False,False,,,False,False
31,frequent_spelling_exact,frequent_error_exact,лесница.,лестница.,лесница,Лесница,case,capitalization_sentence_start,0.6145966053009033,0.98,False,False,,,False,False
31,frequent_spelling_exact,frequent_error_exact,лесница.,лестница.,лесница,лестница,spelling,missing_letter_candidate,0.5757297277450562,0.95,False,False,,,True,True
31,frequent_spelling_exact,frequent_error_exact,лесница.,лестница.,лесница,десница,spelling,keyboard_typo_candidate,0.4533175528049469,0.95,False,False,,,False,False
32,frequent_spelling_exact,frequent_error_exact,малако.,молоко.,малако,молоко,spelling,frequent_error_exact,0.9107608199119568,0.95,False,False,,,True,True
32,frequent_spelling_exact,frequent_error_exact,малако.,молоко.,малако,Малако,case,capitalization_sentence_start,0.5125433206558228,0.98,False,False,,,False,False
33,frequent_spelling_exact,frequent_error_exact,машына.,машина.,машына,машина,spelling,dictionary_fuzzy,0.5762458443641663,0.95,False,False,,,True,True
33,frequent_spelling_exact,frequent_error_exact,машына.,машина.,машына,Машына,case,capitalization_sentence_start,0.2296151667833328,0.98,False,False,,,False,False
34,frequent_spelling_exact,frequent_error_exact,нашол.,нашел.,нашол,Нашол,case,capitalization_sentence_start,0.4164594709873199,0.98,False,False,,,False,False
34,frequent_spelling_exact,frequent_error_exact,нашол.,нашел.,нашол,нашло,spelling,swapped_letters_candidate,0.3560229241847992,0.84,False,False,,,False,False
34,frequent_spelling_exact,frequent_error_exact,нашол.,нашел.,нашол,нашел,spelling,frequent_error_exact,0.194365844130516,0.95,False,False,,,True,True
34,frequent_spelling_exact,frequent_error_exact,нашол.,нашел.,нашол,намол,spelling,dictionary_fuzzy,0.188362181186676,0.95,False,False,,,False,False
35,split_join_exact,frequent_error_exact,незнаю.,не знаю.,незнаю,Незнаю,case,capitalization_sentence_start,0.4660353362560272,0.98,False,False,,,False,False
35,split_join_exact,frequent_error_exact,незнаю.,не знаю.,незнаю,не знаю,split_join,frequent_error_exact,0.0591427162289619,0.95,False,False,,,True,True
36,frequent_spelling_exact,frequent_error_exact,обажаю.,обожаю.,обажаю,обожаю,spelling,frequent_error_exact,0.1975583434104919,0.95,False,False,,,True,True
36,frequent_spelling_exact,frequent_error_exact,обажаю.,обожаю.,обажаю,обнажаю,spelling,missing_letter_candidate,0.1796885877847671,0.95,False,False,,,False,False
36,frequent_spelling_exact,frequent_error_exact,обажаю.,обожаю.,обажаю,обижаю,spelling,keyboard_typo_candidate,0.1756382584571838,0.95,False,False,,,False,False
36,frequent_spelling_exact,frequent_error_exact,обажаю.,обожаю.,обажаю,Обажаю,case,capitalization_sentence_start,0.1426955461502075,0.98,False,False,,,False,False
37,frequent_spelling_exact,frequent_error_exact,обьект.,объект.,обьект,объект,spelling,dictionary_fuzzy,0.8130527138710022,0.95,False,False,,,True,True
37,frequent_spelling_exact,frequent_error_exact,обьект.,объект.,обьект,Обьект,case,capitalization_sentence_start,0.6700477600097656,0.98,False,False,,,False,False
38,frequent_spelling_exact,frequent_error_exact,обявление.,объявление.,обявление,обеление,spelling,dictionary_fuzzy,0.6266174912452698,0.95,False,False,,,False,False
38,frequent_spelling_exact,frequent_error_exact,обявление.,объявление.,обявление,объявление,spelling,missing_letter_candidate,0.5491700172424316,0.95,False,False,,,True,True
38,frequent_spelling_exact,frequent_error_exact,обявление.,объявление.,обявление,Обявление,case,capitalization_sentence_start,0.4420193433761596,0.98,False,False,,,False,False
39,frequent_spelling_exact,frequent_error_exact,переодически.,периодически.,переодически,Переодически,case,capitalization_sentence_start,0.2365442663431167,0.98,False,False,,,False,False
39,frequent_spelling_exact,frequent_error_exact,переодически.,периодически.,переодически,периодически,spelling,dictionary_fuzzy,0.1862179934978485,0.95,False,False,,,True,True
40,frequent_spelling_exact,frequent_error_exact,подезд.,подъезд.,подезд,Подезд,case,capitalization_sentence_start,0.5208084583282471,0.98,False,False,,,False,False
40,frequent_spelling_exact,frequent_error_exact,подезд.,подъезд.,подезд,поезд,spelling,extra_letter_candidate,0.5018754005432129,0.95,False,False,,,False,False
40,frequent_spelling_exact,frequent_error_exact,подезд.,подъезд.,подезд,подъезд,spelling,missing_letter_candidate,0.3969675600528717,0.95,False,False,,,True,True
41,frequent_spelling_exact,frequent_error_exact,подезде.,подъезде.,подезде,Подезде,case,capitalization_sentence_start,0.5137025117874146,0.98,False,False,,,False,False
41,frequent_spelling_exact,frequent_error_exact,подезде.,подъезде.,подезде,поезде,spelling,extra_letter_candidate,0.4947610199451446,0.95,False,False,,,False,False
41,frequent_spelling_exact,frequent_error_exact,подезде.,подъезде.,подезде,подъезде,spelling,missing_letter_candidate,0.4173882901668548,0.95,False,False,,,True,True
42,frequent_spelling_exact,frequent_error_exact,подездом.,подъездом.,подездом,Подездом,case,capitalization_sentence_start,0.6151984333992004,0.98,False,False,,,False,False
42,frequent_spelling_exact,frequent_error_exact,подездом.,подъездом.,подездом,поездом,spelling,extra_letter_candidate,0.5971097946166992,0.95,False,False,,,False,False
42,frequent_spelling_exact,frequent_error_exact,подездом.,подъездом.,подездом,подъездом,spelling,missing_letter_candidate,0.4722639918327331,0.95,False,False,,,True,True
43,frequent_spelling_exact,frequent_error_exact,подезду.,подъезду.,подезду,Подезду,case,capitalization_sentence_start,0.4764744341373443,0.98,False,False,,,False,False
43,frequent_spelling_exact,frequent_error_exact,подезду.,подъезду.,подезду,поезду,spelling,extra_letter_candidate,0.4576139748096466,0.95,False,False,,,False,False
43,frequent_spelling_exact,frequent_error_exact,подезду.,подъезду.,подезду,подъезду,spelling,missing_letter_candidate,0.3551702201366424,0.95,False,False,,,True,True
44,frequent_spelling_exact,frequent_error_exact,получаеться.,получается.,получаеться,Получаеться,case,capitalization_sentence_start,0.336964875459671,0.98,False,False,,,False,False
44,frequent_spelling_exact,frequent_error_exact,получаеться.,получается.,получаеться,получается,spelling,extra_letter_candidate,0.2799452245235443,0.95,False,False,,,True,True
44,frequent_spelling_exact,frequent_error_exact,получаеться.,получается.,получаеться,получаться,spelling,extra_letter_candidate,0.2288590222597122,0.95,False,False,,,False,False
45,frequent_spelling_exact,frequent_error_exact,прасник.,праздник.,прасник,праздник,spelling,frequent_error_exact,0.1834704726934433,0.95,False,False,,,True,True
45,frequent_spelling_exact,frequent_error_exact,прасник.,праздник.,прасник,Прасник,case,capitalization_sentence_start,0.177585169672966,0.98,False,False,,,False,False
45,frequent_spelling_exact,frequent_error_exact,прасник.,праздник.,прасник,пращник,spelling,dictionary_fuzzy,0.1745325922966003,0.95,False,False,,,False,False
46,frequent_spelling_exact,frequent_error_exact,преблизительно.,приблизительно.,преблизительно,приблизительно,spelling,dictionary_fuzzy,0.5643561482429504,0.95,False,False,,,True,True
46,frequent_spelling_exact,frequent_error_exact,преблизительно.,приблизительно.,преблизительно,Преблизительно,case,capitalization_sentence_start,0.3808461427688598,0.98,False,False,,,False,False
47,frequent_spelling_exact,frequent_error_exact,привосходный.,превосходный.,привосходный,Привосходный,case,capitalization_sentence_start,0.9051882028579712,0.98,False,False,,,False,False
47,frequent_spelling_exact,frequent_error_exact,привосходный.,превосходный.,привосходный,превосходный,spelling,dictionary_fuzzy,0.8017058968544006,0.95,False,False,,,True,True
47,frequent_spelling_exact,frequent_error_exact,привосходный.,превосходный.,привосходный,превосходны,spelling,dictionary_fuzzy,0.6359028816223145,0.95,False,False,,,False,False
48,frequent_spelling_exact,frequent_error_exact,приувеличивать.,преувеличивать.,приувеличивать,Приувеличивать,case,capitalization_sentence_start,0.7380898594856262,0.98,False,False,,,False,False
48,frequent_spelling_exact,frequent_error_exact,приувеличивать.,преувеличивать.,приувеличивать,преувеличивать,spelling,dictionary_fuzzy,0.7150656580924988,0.95,False,False,,,True,True
49,frequent_spelling_exact,frequent_error_exact,пришол.,пришел.,пришол,пришел,spelling,frequent_error_exact,0.6068624258041382,0.95,False,False,,,True,True
49,frequent_spelling_exact,frequent_error_exact,пришол.,пришел.,пришол,Пришол,case,capitalization_sentence_start,0.5336940288543701,0.98,False,False,,,False,False
49,frequent_spelling_exact,frequent_error_exact,пришол.,пришел.,пришол,пришло,spelling,swapped_letters_candidate,0.3289746940135956,0.84,False,False,,,False,False
49,frequent_spelling_exact,frequent_error_exact,пришол.,пришел.,пришол,пришл,spelling,extra_letter_candidate,0.2731837034225464,0.95,False,False,,,False,False
50,frequent_spelling_exact,frequent_error_exact,произошол.,произошел.,произошол,произошло,spelling,swapped_letters_candidate,0.5120552778244019,0.84,False,False,,,False,False
50,frequent_spelling_exact,frequent_error_exact,произошол.,произошел.,произошол,произошел,spelling,frequent_error_exact,0.4315312206745147,0.95,False,False,,,True,True
50,frequent_spelling_exact,frequent_error_exact,произошол.,произошел.,произошол,произошёл,spelling,dictionary_fuzzy,0.4137711822986603,0.95,False,False,,,False,False
50,frequent_spelling_exact,frequent_error_exact,произошол.,произошел.,произошол,Произошол,case,capitalization_sentence_start,0.3268208503723144,0.98,False,False,,,False,False
51,frequent_spelling_exact,frequent_error_exact,сабака.,собака.,сабака,собака,spelling,frequent_error_exact,0.8247803449630737,0.95,False,False,,,True,True
51,frequent_spelling_exact,frequent_error_exact,сабака.,собака.,сабака,слабака,spelling,missing_letter_candidate,0.8210772275924683,0.95,False,False,,,False,False
51,frequent_spelling_exact,frequent_error_exact,сабака.,собака.,сабака,салака,spelling,keyboard_typo_candidate,0.7185309529304504,0.95,False,False,,,False,False
51,frequent_spelling_exact,frequent_error_exact,сабака.,собака.,сабака,Сабака,case,capitalization_sentence_start,0.545523464679718,0.98,False,False,,,False,False
52,frequent_spelling_exact,frequent_error_exact,сдесь.,здесь.,сдесь,свесь,spelling,dictionary_fuzzy,0.465519368648529,0.95,False,False,,,False,False
52,frequent_spelling_exact,frequent_error_exact,сдесь.,здесь.,сдесь,здесь,spelling,frequent_error_exact,0.4229194819927215,0.95,False,False,,,True,True
52,frequent_spelling_exact,frequent_error_exact,сдесь.,здесь.,сдесь,Сдесь,case,capitalization_sentence_start,0.4105912446975708,0.98,False,False,,,False,False
52,frequent_spelling_exact,frequent_error_exact,сдесь.,здесь.,сдесь,смесь,spelling,dictionary_fuzzy,0.4033399522304535,0.95,False,False,,,False,False
53,frequent_spelling_exact,frequent_error_exact,серце.,сердце.,серце,сердце,spelling,frequent_error_exact,0.6434434056282043,0.95,False,False,,,True,True
53,frequent_spelling_exact,frequent_error_exact,серце.,сердце.,серце,серые,spelling,keyboard_typo_candidate,0.5869336128234863,0.95,False,False,,,False,False
53,frequent_spelling_exact,frequent_error_exact,серце.,сердце.,серце,сенце,spelling,keyboard_typo_candidate,0.5277604460716248,0.95,False,False,,,False,False
53,frequent_spelling_exact,frequent_error_exact,серце.,сердце.,серце,Серце,case,capitalization_sentence_start,0.5047586560249329,0.98,False,False,,,False,False
54,frequent_spelling_exact,frequent_error_exact,сьезд.,съезд.,сьезд,Сьезд,case,capitalization_sentence_start,0.6600436568260193,0.98,False,False,,,False,False
54,frequent_spelling_exact,frequent_error_exact,сьезд.,съезд.,сьезд,съезд,spelling,dictionary_fuzzy,0.5961488485336304,0.95,False,False,,,True,True
55,frequent_spelling_exact,frequent_error_exact,територия.,территория.,територия,территория,spelling,double_consonant_candidate,0.7061435580253601,0.84,False,False,,,True,True
55,frequent_spelling_exact,frequent_error_exact,територия.,территория.,територия,Територия,case,capitalization_sentence_start,0.4109136462211609,0.98,False,False,,,False,False
55,frequent_spelling_exact,frequent_error_exact,територия.,территория.,територия,территории,spelling,dictionary_fuzzy,0.3525136113166809,0.95,False,False,,,False,False
56,frequent_spelling_exact,frequent_error_exact,улыбаеться.,улыбается.,улыбаеться,улыбается,spelling,extra_letter_candidate,0.3431172370910644,0.95,False,False,,,True,True
56,frequent_spelling_exact,frequent_error_exact,улыбаеться.,улыбается.,улыбаеться,Улыбаеться,case,capitalization_sentence_start,0.2683520019054413,0.98,False,False,,,False,False
56,frequent_spelling_exact,frequent_error_exact,улыбаеться.,улыбается.,улыбаеться,улыбаться,spelling,extra_letter_candidate,0.2583655118942261,0.95,False,False,,,False,False
57,frequent_spelling_exact,frequent_error_exact,харашо.,хорошо.,харашо,хорошо,spelling,frequent_error_exact,0.5915793180465698,0.95,False,False,,,True,True
57,frequent_spelling_exact,frequent_error_exact,харашо.,хорошо.,харашо,Харашо,case,capitalization_sentence_start,0.3388470709323883,0.98,False,False,,,False,False
58,frequent_spelling_exact,frequent_error_exact,хочеться.,хочется.,хочеться,хотеться,spelling,dictionary_fuzzy,0.2695249915122986,0.95,False,False,,,False,False
58,frequent_spelling_exact,frequent_error_exact,хочеться.,хочется.,хочеться,хочется,spelling,extra_letter_candidate,0.2076776921749115,0.95,False,False,,,True,True
