source,target,category,rule_hint,origin
щястье.,счастье.,frequent_spelling_exact,frequent_error_exact,frequent_errors
во первых.,во-первых.,hyphen_whitelist,hyphen_whitelist,frequent_errors
кое как.,кое-как.,hyphen_whitelist,hyphen_whitelist,frequent_errors
кто нибудь.,кто-нибудь.,hyphen_whitelist,hyphen_whitelist,frequent_errors
по русски.,по-русски.,hyphen_whitelist,hyphen_whitelist,frequent_errors
по-умолчанию.,по умолчанию.,hyphen_whitelist,hyphen_whitelist,frequent_errors
что то.,что-то.,hyphen_whitelist,hyphen_whitelist,frequent_errors
в следствие.,вследствие.,context_pair,context_pair,frequent_errors
вследствие.,в следствие.,context_pair,context_pair,frequent_errors
за то.,зато.,context_pair,context_pair,frequent_errors
зато.,за то.,context_pair,context_pair,frequent_errors
не смотря.,несмотря.,context_pair,context_pair,frequent_errors
не смотря на.,несмотря на.,context_pair,context_pair,frequent_errors
несмотря.,не смотря.,context_pair,context_pair,frequent_errors
несмотря на.,не смотря на.,context_pair,context_pair,frequent_errors
так же.,также.,context_pair,context_pair,frequent_errors
также.,так же.,context_pair,context_pair,frequent_errors
то же.,тоже.,context_pair,context_pair,frequent_errors
тоже.,то же.,context_pair,context_pair,frequent_errors
что бы.,чтобы.,context_pair,context_pair,frequent_errors
чтобы.,что бы.,context_pair,context_pair,frequent_errors
"Секретарь сохранил библеотека, потому что длинная запись был важен.","Секретарь сохранил библиотека, потому что длинная запись был важен.",dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
"Секретарь сохранил библеотека, потому что короткий договор был важен.","Секретарь сохранил библиотека, потому что короткий договор был важен.",dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
Команда внесла библеотека в архивный номер перед встречей.,Команда внесла библиотека в архивный номер перед встречей.,dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
Аналитик записал библеотека и обновил длинная запись вечером.,Аналитик записал библиотека и обновил длинная запись вечером.,dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
Команда внесла библеотека в короткий договор перед встречей.,Команда внесла библиотека в короткий договор перед встречей.,dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
"Секретарь сохранил библеотека, потому что осенняя проверка был важен.","Секретарь сохранил библиотека, потому что осенняя проверка был важен.",dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
Аналитик записал библеотека и обновил архивная таблица вечером.,Аналитик записал библиотека и обновил архивная таблица вечером.,dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
"Секретарь сохранил библеотека, потому что новая таблица был важен.","Секретарь сохранил библиотека, потому что новая таблица был важен.",dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
"Секретарь сохранил библеотека, потому что летняя проверка был важен.","Секретарь сохранил библиотека, потому что летняя проверка был важен.",dataset_dictionary_fuzzy,dictionary_fuzzy,short_dataset_v2
"Редактор проверил грсмматика, когда готовил согласованный договор.","Редактор проверил грамматика, когда готовил согласованный договор.",dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
"Эксперт отметил молокл, когда читал основной договор.","Эксперт отметил молоко, когда читал основной договор.",dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
Автор увидел грсмматика и открыл городской журнал утром.,Автор увидел грамматика и открыл городской журнал утром.,dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
"Эксперт отметил молокл, когда читал рабочая группа.","Эксперт отметил молоко, когда читал рабочая группа.",dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
"Редактор проверил грсмматика, когда готовил утренний выпуск.","Редактор проверил грамматика, когда готовил утренний выпуск.",dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
"Редактор проверил молокл, когда готовил плановая встреча.","Редактор проверил молоко, когда готовил плановая встреча.",dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
"Редактор проверил грсмматика, когда готовил закрытое письмо.","Редактор проверил грамматика, когда готовил закрытое письмо.",dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
Автор увидел грсмматика и открыл открытый вопрос утром.,Автор увидел грамматика и открыл открытый вопрос утром.,dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
"Секретарь сохранил клрова, потому что подробная справка был важен.","Секретарь сохранил корова, потому что подробная справка был важен.",dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
Команда внесла клрова в вечерняя смена перед встречей.,Команда внесла корова в вечерняя смена перед встречей.,dataset_keyboard_typo_candidate,keyboard_typo_candidate,short_dataset_v2
"Редактор проверил коорва, когда готовил районный протокол.","Редактор проверил корова, когда готовил районный протокол.",dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
"Редактор проверил коорва, когда готовил служебная записка.","Редактор проверил корова, когда готовил служебная записка.",dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
"Редактор проверил коорва, когда готовил рабочий отчет.","Редактор проверил корова, когда готовил рабочий отчет.",dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
Автор увидел коорва и открыл вечерний протокол утром.,Автор увидел корова и открыл вечерний протокол утром.,dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
"Эксперт отметил коорва, когда читал новый документ.","Эксперт отметил корова, когда читал новый документ.",dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
Автор увидел коорва и открыл архивный номер утром.,Автор увидел корова и открыл архивный номер утром.,dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
"Редактор проверил коорва, когда готовил проверенный файл.","Редактор проверил корова, когда готовил проверенный файл.",dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
Автор увидел коорва и открыл подробная справка утром.,Автор увидел корова и открыл подробная справка утром.,dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
Автор увидел коорва и открыл подготовленный список утром.,Автор увидел корова и открыл подготовленный список утром.,dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
Автор увидел коорва и открыл свежая сводка утром.,Автор увидел корова и открыл свежая сводка утром.,dataset_swapped_letters_candidate,swapped_letters_candidate,short_dataset_v2
"Редактор проверил млоко, когда готовил важная подпись.","Редактор проверил молоко, когда готовил важная подпись.",dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
Автор увидел библотека и открыл короткая заметка утром.,Автор увидел библиотека и открыл короткая заметка утром.,dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
Аналитик записал сбака и обновил городская служба вечером.,Аналитик записал собака и обновил городская служба вечером.,dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
Автор увидел библотека и открыл плановая встреча утром.,Автор увидел библиотека и открыл плановая встреча утром.,dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
"Редактор проверил библотека, когда готовил основной договор.","Редактор проверил библиотека, когда готовил основной договор.",dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
Аналитик записал сбака и обновил временный график вечером.,Аналитик записал собака и обновил временный график вечером.,dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
Автор увидел библотека и открыл закрытая заявка утром.,Автор увидел библиотека и открыл закрытая заявка утром.,dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
Аналитик записал сбака и обновил подробная справка вечером.,Аналитик записал собака и обновил подробная справка вечером.,dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
"Редактор проверил млоко, когда готовил северный филиал.","Редактор проверил молоко, когда готовил северный филиал.",dataset_missing_letter_candidate,missing_letter_candidate,short_dataset_v2
Аналитик записал молокоо и обновил зимнее расписание вечером.,Аналитик записал молоко и обновил зимнее расписание вечером.,dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
"Секретарь сохранил молокоо, потому что новая редакция был важен.","Секретарь сохранил молоко, потому что новая редакция был важен.",dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
Команда внесла молокоо в открытая заявка перед встречей.,Команда внесла молоко в открытая заявка перед встречей.,dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
Команда внесла молокоо в городской архив перед встречей.,Команда внесла молоко в городской архив перед встречей.,dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
Аналитик записал молокоо и обновил дежурный редактор вечером.,Аналитик записал молоко и обновил дежурный редактор вечером.,dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
"Секретарь сохранил молокоо, потому что новый маршрут был важен.","Секретарь сохранил молоко, потому что новый маршрут был важен.",dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
"Секретарь сохранил молокоо, потому что общий график был важен.","Секретарь сохранил молоко, потому что общий график был важен.",dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
Команда внесла молокоо в новый раздел перед встречей.,Команда внесла молоко в новый раздел перед встречей.,dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
Аналитик записал молокоо и обновил учебная таблица вечером.,Аналитик записал молоко и обновил учебная таблица вечером.,dataset_extra_letter_candidate,extra_letter_candidate,short_dataset_v2
"Секретарь сохранил комисия, потому что плановая встреча был важен.","Секретарь сохранил комиссия, потому что плановая встреча был важен.",dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
Аналитик записал територия и обновил плановый отчет вечером.,Аналитик записал территория и обновил плановый отчет вечером.,dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
"Секретарь сохранил територия, потому что общий график был важен.","Секретарь сохранил территория, потому что общий график был важен.",dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
Автор увидел граматика и открыл точная дата утром.,Автор увидел грамматика и открыл точная дата утром.,dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
"Эксперт отметил граматика, когда читал согласованный договор.","Эксперт отметил грамматика, когда читал согласованный договор.",dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
Команда внесла територия в готовый макет перед встречей.,Команда внесла территория в готовый макет перед встречей.,dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
Команда внесла комисия в письменный ответ перед встречей.,Команда внесла комиссия в письменный ответ перед встречей.,dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
Автор увидел граматика и открыл новый порядок утром.,Автор увидел грамматика и открыл новый порядок утром.,dataset_double_consonant_candidate,double_consonant_candidate,short_dataset_v2
Напыщеные домики стискивают углы зрения и формат ощущений.,Напыщенные домики стискивают углы зрения и формат ощущений.,dataset_n_nn_adjective,n_nn_adjective,short_dataset_v2
Напыщеные домики стискивают углы зрения и формат ощущений.,Напыщенные домики стискивают углы зрения и формат ощущений,dataset_n_nn_adjective,n_nn_adjective,short_dataset_v2
все потому что серебрянные зайцы водят хоровод,все потому что серебряные зайцы водят хоровод,dataset_n_nn_adjective,n_nn_adjective,short_dataset_v2
"Пока ты занимался Лакроссом, мы играли в свинной грипп","Пока ты занимался Лакроссом, мы играли в свиной грипп",dataset_n_nn_adjective,n_nn_adjective,short_dataset_v2
"А гостинная она для того и делалась, а то в РД Урала уже ваще ничего святого не осталось.",А гостиная она для того и делалась а то в РД Урала уже вообще ничего святого не осталось,dataset_n_nn_adjective,n_nn_adjective,short_dataset_v2
"А гостинная она для того и делалась, а то в РД Урала уже ваще ничего святого не осталось.","А гостиная, она для того и делалась, а то в РД Урала уже вообще ничего святого не осталось.",dataset_n_nn_adjective,n_nn_adjective,short_dataset_v2
Автор увидел раненный и открыл точная дата утром.,Автор увидел раненый и открыл точная дата утром.,dataset_n_nn_deverbal_adjective,n_nn_deverbal_adjective,short_dataset_v2
Автор увидел раненный и открыл новый раздел утром.,Автор увидел раненый и открыл новый раздел утром.,dataset_n_nn_deverbal_adjective,n_nn_deverbal_adjective,short_dataset_v2
Автор увидел раненный и открыл старый договор утром.,Автор увидел раненый и открыл старый договор утром.,dataset_n_nn_deverbal_adjective,n_nn_deverbal_adjective,short_dataset_v2
Автор увидел раненный и открыл служебный журнал утром.,Автор увидел раненый и открыл служебный журнал утром.,dataset_n_nn_deverbal_adjective,n_nn_deverbal_adjective,short_dataset_v2
Автор увидел раненный и открыл основной договор утром.,Автор увидел раненый и открыл основной договор утром.,dataset_n_nn_deverbal_adjective,n_nn_deverbal_adjective,short_dataset_v2
Подделаная подпись по определению неаутентична даже если мы не можем подделку распознать.,"Подделанная подпись по определению неаутентична, даже если мы не можем подделку распознать.",dataset_n_nn_participle,n_nn_participle,short_dataset_v2
ставим точки ждем отсрочки продлеваем проданый билет,ставим точки ждем отсрочки продлеваем проданный билет,dataset_n_nn_participle,n_nn_participle,short_dataset_v2
есть у вас оформленый и подписаный мною заказ,есть у вас оформленный и подписанный мною заказ,dataset_n_nn_participle,n_nn_participle,short_dataset_v2
Подделаная подпись по определению неаутентична даже если мы не можем подделку распознать.,Подделанная подпись по определению неаутентична даже если мы не можем подделку распознать,dataset_n_nn_participle,n_nn_participle,short_dataset_v2
сегодня приходит меил уважаемая а не могли бы вы с нами связаться а то телефон написаный в резюме не отвечает а мы вас уже недлею очень хотим пособеседовать,сегодня приходит мейл уважаемая а не могли бы вы с нами связаться а то телефон написанный в резюме не отвечает а мы вас уже неделю очень хотим пособеседовать,dataset_n_nn_participle,n_nn_participle,short_dataset_v2
есть у вас оформленый и подписаный мною заказ,Есть у вас оформленный и подписанный мною заказ?,dataset_n_nn_participle,n_nn_participle,short_dataset_v2
Кой кто отправил учебная таблица. Позже служба отправила ответ.,Кой-кто отправил учебная таблица. Позже служба отправила ответ.,dataset_hyphen_koe_koy,hyphen_koe_koy,short_dataset_v2
Кой кто отправил подробная справка. Утром аналитик сохранил отчет.,Кой-кто отправил подробная справка. Утром аналитик сохранил отчет.,dataset_hyphen_koe_koy,hyphen_koe_koy,short_dataset_v2
Кой кто отправил вечерний протокол. Затем аналитик обновил запись.,Кой-кто отправил вечерний протокол. Затем аналитик обновил запись.,dataset_hyphen_koe_koy,hyphen_koe_koy,short_dataset_v2
Кой кто отправил проверенный файл. Вечером архивариус нашел копию.,Кой-кто отправил проверенный файл. Вечером архивариус нашел копию.,dataset_hyphen_koe_koy,hyphen_koe_koy,short_dataset_v2
Кой кто отправил районная комиссия. Позже эксперт согласовал таблицу.,Кой-кто отправил районная комиссия. Позже эксперт согласовал таблицу.,dataset_hyphen_koe_koy,hyphen_koe_koy,short_dataset_v2
Кой кто отправил важная подпись. Утром эксперт обновил протокол.,Кой-кто отправил важная подпись. Утром эксперт обновил протокол.,dataset_hyphen_koe_koy,hyphen_koe_koy,short_dataset_v2
Кой кто отправил точный план. Позже юрист согласовал договор.,Кой-кто отправил точный план. Позже юрист согласовал договор.,dataset_hyphen_koe_koy,hyphen_koe_koy,short_dataset_v2
Он говорит по русски о проекте. После обеда юрист проверил подпись.,Он говорит по-русски о проекте. После обеда юрист проверил подпись.,dataset_hyphen_po_adverbs,hyphen_po_adverbs,short_dataset_v2
Он говорит по русски о проекте. Затем группа сверила подписи.,Он говорит по-русски о проекте. Затем группа сверила подписи.,dataset_hyphen_po_adverbs,hyphen_po_adverbs,short_dataset_v2
Он говорит по русски о проекте. Утром секретарь открыл папку.,Он говорит по-русски о проекте. Утром секретарь открыл папку.,dataset_hyphen_po_adverbs,hyphen_po_adverbs,short_dataset_v2
Он говорит по русски о проекте. Затем группа проверила договор.,Он говорит по-русски о проекте. Затем группа проверила договор.,dataset_hyphen_po_adverbs,hyphen_po_adverbs,short_dataset_v2
Он говорит по русски о проекте. Вечером секретарь обновил график.,Он говорит по-русски о проекте. Вечером секретарь обновил график.,dataset_hyphen_po_adverbs,hyphen_po_adverbs,short_dataset_v2
Он говорит по русски о проекте. Вечером юрист сверил договор.,Он говорит по-русски о проекте. Вечером юрист сверил договор.,dataset_hyphen_po_adverbs,hyphen_po_adverbs,short_dataset_v2
Он говорит по русски о проекте. После проверки комиссия отправила ответ.,Он говорит по-русски о проекте. После проверки комиссия отправила ответ.,dataset_hyphen_po_adverbs,hyphen_po_adverbs,short_dataset_v2
Что то изменилось в архиве. После обеда координатор принял протокол.,Что-то изменилось в архиве. После обеда координатор принял протокол.,dataset_hyphen_particles,hyphen_particles,short_dataset_v2
Что то изменилось в архиве. Позже группа сохранила папку.,Что-то изменилось в архиве. Позже группа сохранила папку.,dataset_hyphen_particles,hyphen_particles,short_dataset_v2
Что то изменилось в архиве. Позже координатор обновил ведомость.,Что-то изменилось в архиве. Позже координатор обновил ведомость.,dataset_hyphen_particles,hyphen_particles,short_dataset_v2
Что то изменилось в архиве. Позже отдел сверил таблицу.,Что-то изменилось в архиве. Позже отдел сверил таблицу.,dataset_hyphen_particles,hyphen_particles,short_dataset_v2
Что то изменилось в архиве. Утром редактор принял отчет.,Что-то изменилось в архиве. Утром редактор принял отчет.,dataset_hyphen_particles,hyphen_particles,short_dataset_v2
Что то изменилось в архиве. Утром аналитик сохранил отчет.,Что-то изменилось в архиве. Утром аналитик сохранил отчет.,dataset_hyphen_particles,hyphen_particles,short_dataset_v2
Чтобы команда ни решила отчет останется. Вечером автор обновил сводку.,Что бы команда ни решила отчет останется. Вечером автор обновил сводку.,dataset_context_chto_by,context_chto_by,short_dataset_v2
Чтобы команда ни решила отчет останется. Позже служба согласовала заявку.,Что бы команда ни решила отчет останется. Позже служба согласовала заявку.,dataset_context_chto_by,context_chto_by,short_dataset_v2
Чтобы команда ни решила отчет останется. Утром группа закрыла протокол.,Что бы команда ни решила отчет останется. Утром группа закрыла протокол.,dataset_context_chto_by,context_chto_by,short_dataset_v2
Чтобы команда ни решила отчет останется. Вечером отдел сверил ведомость.,Что бы команда ни решила отчет останется. Вечером отдел сверил ведомость.,dataset_context_chto_by,context_chto_by,short_dataset_v2
Чтобы команда ни решила отчет останется. Утром группа приняла решение.,Что бы команда ни решила отчет останется. Утром группа приняла решение.,dataset_context_chto_by,context_chto_by,short_dataset_v2
Чтобы команда ни решила отчет останется. Вечером секретарь обновил график.,Что бы команда ни решила отчет останется. Вечером секретарь обновил график.,dataset_context_chto_by,context_chto_by,short_dataset_v2
Не смотря на задержку проект завершили. Затем группа сверила подписи.,Несмотря на задержку проект завершили. Затем группа сверила подписи.,dataset_context_nesmotrya,context_nesmotrya,short_dataset_v2
Не смотря на дождь команда пришла вовремя. Утром комиссия вернулась к письму.,Несмотря на дождь команда пришла вовремя. Утром комиссия вернулась к письму.,dataset_context_nesmotrya,context_nesmotrya,short_dataset_v2
Не смотря на задержку проект завершили. Позже группа сохранила папку.,Несмотря на задержку проект завершили. Позже группа сохранила папку.,dataset_context_nesmotrya,context_nesmotrya,short_dataset_v2
Несмотря в документы он отвечал на вопросы. Затем аналитик обновил запись.,Не смотря в документы он отвечал на вопросы. Затем аналитик обновил запись.,dataset_context_nesmotrya,context_nesmotrya,short_dataset_v2
Несмотря в документы он отвечал на вопросы. Вечером служба обновила список.,Не смотря в документы он отвечал на вопросы. Вечером служба обновила список.,dataset_context_nesmotrya,context_nesmotrya,short_dataset_v2
Несмотря в документы он отвечал на вопросы. Затем юрист обновил решение.,Не смотря в документы он отвечал на вопросы. Затем юрист обновил решение.,dataset_context_nesmotrya,context_nesmotrya,short_dataset_v2
Редактор поступил также как автор. Утром секретарь открыл папку.,Редактор поступил так же как автор. Утром секретарь открыл папку.,dataset_context_tak_zhe,context_tak_zhe,short_dataset_v2
Он сделал также как коллега. Вечером автор обновил сводку.,Он сделал так же как коллега. Вечером автор обновил сводку.,dataset_context_tak_zhe,context_tak_zhe,short_dataset_v2
Редактор поступил также как автор. Утром аналитик проверил заявку.,Редактор поступил так же как автор. Утром аналитик проверил заявку.,dataset_context_tak_zhe,context_tak_zhe,short_dataset_v2
Редактор поступил также как автор. После проверки список закрыли.,Редактор поступил так же как автор. После проверки список закрыли.,dataset_context_tak_zhe,context_tak_zhe,short_dataset_v2
Команда решила также как комиссия. Вечером юрист сверил договор.,Команда решила так же как комиссия. Вечером юрист сверил договор.,dataset_context_tak_zhe,context_tak_zhe,short_dataset_v2
Редактор тоже замечание оставил в тексте. Вечером автор проверил таблицу.,Редактор то же замечание оставил в тексте. Вечером автор проверил таблицу.,dataset_context_to_zhe,context_to_zhe,short_dataset_v2
Он тоже задание отправил вечером. Утром группа приняла решение.,Он то же задание отправил вечером. Утром группа приняла решение.,dataset_context_to_zhe,context_to_zhe,short_dataset_v2
Он тоже задание отправил вечером. После проверки комиссия отправила ответ.,Он то же задание отправил вечером. После проверки комиссия отправила ответ.,dataset_context_to_zhe,context_to_zhe,short_dataset_v2
Я тоже упражнение проверил утром. Позже редактор сохранил копию.,Я то же упражнение проверил утром. Позже редактор сохранил копию.,dataset_context_to_zhe,context_to_zhe,short_dataset_v2
Я тоже упражнение проверил утром. Утром редакция выпустила заметку.,Я то же упражнение проверил утром. Утром редакция выпустила заметку.,dataset_context_to_zhe,context_to_zhe,short_dataset_v2
Отчет задержали потому что вечерний протокол вернули позже. Позже группа обсудила договор.,"Отчет задержали, потому что вечерний протокол вернули позже. Позже группа обсудила договор.",dataset_comma_subordinate,comma_subordinate,short_dataset_v2
Проект готов потому что общий график уже согласован. Затем комиссия открыла раздел.,"Проект готов, потому что общий график уже согласован. Затем комиссия открыла раздел.",dataset_comma_subordinate,comma_subordinate,short_dataset_v2
Команда решила что подготовленный список нужно проверить. Затем секретарь проверил журнал.,"Команда решила, что подготовленный список нужно проверить. Затем секретарь проверил журнал.",dataset_comma_subordinate,comma_subordinate,short_dataset_v2
Отчет задержали потому что точный план вернули позже. После проверки руководитель подписал лист.,"Отчет задержали, потому что точный план вернули позже. После проверки руководитель подписал лист.",dataset_comma_subordinate,comma_subordinate,short_dataset_v2
Редактор заметил что вечерний протокол изменился утром. Утром эксперт прочитал письмо.,"Редактор заметил, что вечерний протокол изменился утром. Утром эксперт прочитал письмо.",dataset_comma_subordinate,comma_subordinate,short_dataset_v2
Команда решила что финальный список нужно проверить. Вечером руководитель принял правки.,"Команда решила, что финальный список нужно проверить. Вечером руководитель принял правки.",dataset_comma_subordinate,comma_subordinate,short_dataset_v2
Автор торопился зато общий график сохранили вовремя. Утром аналитик сохранил отчет.,"Автор торопился, зато общий график сохранили вовремя. Утром аналитик сохранил отчет.",dataset_comma_conjunction,comma_conjunction,short_dataset_v2
План простой зато надежный. Утром комиссия вернулась к письму.,"План простой, зато надежный. Утром комиссия вернулась к письму.",dataset_comma_conjunction,comma_conjunction,short_dataset_v2
