rule_id,initial_verified,generated_corpus,generated_fallback,accepted_after_backfill,activated_after_backfill,status,reason
ne_adverb,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
ne_participle,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
ne_predicative,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
ne_short_form,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
ne_verb,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
ni_particle_context,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
ni_stable_expression,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_жо_же,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_жы_жи,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_цы_ци,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_чо_че,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_чю_чу,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_чя_ча,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_шо_ше,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_шы_ши,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_що_ще,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_щю_щу,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pattern_щя_ща,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
pol_polu_compounds,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
prefix_pre_pri,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
prefix_s_to_z,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
prefix_z_to_s,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
punctuation_delete_replace,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
quote_pair_balance,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
sdelat_prefix,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
semicolon,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
soft_to_hard_sign,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
subject_predicate_dash,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
swapped_letters_candidate,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
tsya_soft_delete,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
tsya_soft_insert,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
