taxonomy_key,domain,entry_type,title,orfogrammka_id,project_rule_ids,implementation_status,requires,executable,training_eligible,training_decision,training_reason,has_candidate_path,has_synthetic_support,has_hard_negative_support,has_validator_support,has_dictionary_support,has_syntax_support,has_morphology_support,has_ner_support,risk_level,production_ready_rule_ids,training_candidate_rule_ids,activation_stages,activation_exclusion_reasons
orthography_1_1_2_1,orthography,leaf_rule,"Буквы «а», «у»",1.1.2.1,"[""pattern_чя_ча"", ""pattern_щя_ща"", ""pattern_чю_чу"", ""pattern_щю_щу""]",implemented,"[""dictionary""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,True,True,True,True,True,True,True,False,medium,[],"[""pattern_чя_ча"", ""pattern_щя_ща"", ""pattern_чю_чу"", ""pattern_щю_щу""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_1_1_2_2,orthography,leaf_rule,"Буквы «и», «ы»",1.1.2.2,"[""pattern_жы_жи"", ""pattern_шы_ши"", ""pattern_цы_ци"", ""cy_exception""]",implemented,"[""dictionary""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is model training distribution; candidate path verified; current blocker is threshold calibration,True,True,True,True,True,True,True,False,medium,[],"[""pattern_жы_жи"", ""pattern_шы_ши"", ""pattern_цы_ци"", ""cy_exception""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_1_1_2_3,orthography,leaf_rule,Буква «е» на месте ударной гласной,1.1.2.3,"[""pattern_жо_же"", ""pattern_шо_ше"", ""pattern_чо_че"", ""pattern_що_ще""]",partial,"[""dictionary""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,True,True,True,True,True,True,True,False,medium,[],"[""pattern_жо_же"", ""pattern_шо_ше"", ""pattern_чо_че"", ""pattern_що_ще""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_1_1_2_4,orthography,leaf_rule,Буква «о» на месте ударной гласной,1.1.2.4,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_2_5,orthography,leaf_rule,Буква «ё» на месте ударной гласной,1.1.2.5,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_2_6,orthography,leaf_rule,"Буквы «о», «е» на месте безударной гласной",1.1.2.6,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_2_7,orthography,leaf_rule,Буквы «о» и «е» после «ц»,1.1.2.7,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_2_8,orthography,leaf_rule,Буква «э» после шипящих и «ц»,1.1.2.8,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_3,orthography,leaf_rule,Буква «й»,1.1.3,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_bukvy_i,orthography,group,Буквы «ъ» и «ь»,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_1_4_1,orthography,leaf_rule,Разделительные «ъ» и «ь»,1.1.4.1,"[""soft_to_hard_sign"", ""missing_hard_sign""]",partial,"[""dictionary""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,True,True,True,True,True,True,True,False,medium,[],"[""soft_to_hard_sign"", ""missing_hard_sign""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_1_1_4_2,orthography,leaf_rule,Буква «ь» как знак мягкости согласного,1.1.4.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_4_3,orthography,leaf_rule,Буква «ь» после шипящих в некоторых грамматических формах,1.1.4.3,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_1_4_4,orthography,leaf_rule,Буква «ь» не после шипящих в некоторых грамматических формах,1.1.4.4,"[""tsya_soft_insert"", ""tsya_soft_delete""]",model_required,"[""model"", ""morphology"", ""syntax""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,True,True,True,True,True,True,True,False,high,[],"[""tsya_soft_insert"", ""tsya_soft_delete""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova,orthography,group,Написание значимых частей слова,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_1,orthography,leaf_rule,Безударные гласные в корнях,1.2.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_napisanie_otdelnyh_korney,orthography,group,Написание отдельных корней,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_napisanie_otdelnyh_korney_korni_s_chereduyuschimisya_glasnymi,orthography,group,Корни с чередующимися гласными,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_2_1_1,orthography,leaf_rule,Корни с буквами «а» и «о»,1.2.2.1.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_2_1_2,orthography,leaf_rule,Корни с буквами «и» и «е»,1.2.2.1.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_2_2,orthography,leaf_rule,Трудные случаи написания корневых гласных,1.2.2.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_pristavkah,orthography,group,Безударные гласные в приставках,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_3_1,orthography,leaf_rule,Написание букв на месте безударных гласных в приставках,1.2.3.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_3_2,orthography,leaf_rule,Приставки при- и пре-,1.2.3.2,"[""prefix_pre_pri""]",model_required,"[""dictionary"", ""model""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,True,True,True,True,True,True,True,False,medium,[],"[""prefix_pre_pri""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_1_2_3_3,orthography,leaf_rule,Приставка раз- (рас-) / роз- (рос-),1.2.3.3,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_3_4,orthography,leaf_rule,Гласные на конце приставок и предлогов на безударный гласный,1.2.3.4,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_suffiksah,orthography,group,Безударные гласные в суффиксах,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_4_1,orthography,leaf_rule,Суффиксы с проверяемыми безударными гласными,1.2.4.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_2,orthography,leaf_rule,Суффиксы с непроверяемыми безударными гласными,1.2.4.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_3,orthography,leaf_rule,"Гласный на конце основы в существительных на «-ий», «-ия», «-ие»",1.2.4.3,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_suffiksah_osobennosti_napisaniya_otdelnyh_suffiksov,orthography,group,Особенности написания отдельных суффиксов,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_4_4_1,orthography,leaf_rule,"Суффиксы -енн, -ян",1.2.4.4.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_2,orthography,leaf_rule,"Суффиксы -ев, -ив, -лив, -чив",1.2.4.4.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_3,orthography,leaf_rule,"Суффиксы -еньк, -оньк",1.2.4.4.3,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_4,orthography,leaf_rule,"Суффиксы -очк , -ечк",1.2.4.4.4,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_5,orthography,leaf_rule,"Суффиксы -ачий (-ячий), -ечий, -ичий",1.2.4.4.5,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_6,orthography,leaf_rule,"Суффиксы -ек, -ик",1.2.4.4.6,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_7,orthography,leaf_rule,"Суффиксы -инк, -енк, -анк (-янк)",1.2.4.4.7,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_8,orthography,leaf_rule,"Суффиксы -иц, -ец",1.2.4.4.8,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_9,orthography,leaf_rule,Суффикс -(м)ен,1.2.4.4.9,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_10,orthography,leaf_rule,"Суффиксы -ышк , -ышек, -ешек и -ушк (-юшк), -ушек",1.2.4.4.10,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_11,orthography,leaf_rule,"Суффиксы -инск , -енск",1.2.4.4.11,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_12,orthography,leaf_rule,"Суффиксы -ошн, -ашн, -ешн, -ишн",1.2.4.4.12,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_13,orthography,leaf_rule,"Суффиксы -ив, -ев",1.2.4.4.13,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_14,orthography,leaf_rule,"Суффиксы -ущ (-ющ), -ащ (-ящ)",1.2.4.4.14,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_15,orthography,leaf_rule,"Суффиксы -ем, -им, -емость, -имость",1.2.4.4.15,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_16,orthography,leaf_rule,Суффиксы -анн (-янн) и -ан (-ян); -енн и -ен,1.2.4.4.16,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_17,orthography,leaf_rule,"Особенности написания суффиксов -ыва (-ива), -ова (-ева)",1.2.4.4.17,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_18,orthography,leaf_rule,Суффикс -ва,1.2.4.4.18,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_4_4_19,orthography,leaf_rule,"Суффиксы -е(ть), -и(ть), -ене(ть), -ени(ть)",1.2.4.4.19,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_5,orthography,leaf_rule,Беглые гласные в корнях и суффиксах существительных и прилагательных,1.2.5,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_6,orthography,leaf_rule,Соединительные гласные,1.2.6,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_padezhnyh_okonchaniyah,orthography,group,Безударные гласные в падежных окончаниях,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_7_1,orthography,leaf_rule,Написание букв в окончаниях по формам слов с тем же окончанием,1.2.7.1,[],syntax_required,"[""dictionary"", ""model"", ""syntax""]",False,False,BLOCK_NEEDS_DICTIONARY,dictionary-backed lexical or morphology support is required before training inclusion,False,False,False,False,True,True,True,False,high,[],[],[],[]
orthography_1_2_7_2,orthography,leaf_rule,"Написание в форме им. п. ед. ч. муж. рода прилагательных / слов, склоняющихся как прилагательные",1.2.7.2,[],syntax_required,"[""dictionary"", ""model"", ""syntax""]",False,False,BLOCK_NEEDS_DICTIONARY,dictionary-backed lexical or morphology support is required before training inclusion,False,False,False,False,True,True,True,False,high,[],[],[],[]
orthography_1_2_7_3,orthography,leaf_rule,"Окончания, содержащие гласные, не проверяемые ударной позицией",1.2.7.3,[],syntax_required,"[""dictionary"", ""model"", ""syntax""]",False,False,BLOCK_NEEDS_DICTIONARY,dictionary-backed lexical or morphology support is required before training inclusion,False,False,False,False,True,True,True,False,high,[],[],[],[]
orthography_1_2_7_4,orthography,leaf_rule,Безударные окончания у существительных с некоторыми суффиксами,1.2.7.4,[],syntax_required,"[""dictionary"", ""model"", ""syntax""]",False,False,BLOCK_NEEDS_DICTIONARY,dictionary-backed lexical or morphology support is required before training inclusion,False,False,False,False,True,True,True,False,high,[],[],[],[]
orthography_1_2_7_5,orthography,leaf_rule,"Падежные формы существительных на -ий, -ие, -ия",1.2.7.5,[],syntax_required,"[""dictionary"", ""model"", ""syntax""]",False,False,BLOCK_NEEDS_DICTIONARY,dictionary-backed lexical or morphology support is required before training inclusion,False,False,False,False,True,True,True,False,high,[],[],[],[]
orthography_1_2_7_6,orthography,leaf_rule,"Предлоги «в», «на», «по» с существительными на -ие, -ии",1.2.7.6,[],syntax_required,"[""dictionary"", ""model"", ""syntax""]",False,False,BLOCK_NEEDS_DICTIONARY,dictionary-backed lexical or morphology support is required before training inclusion,False,False,False,False,True,True,True,False,high,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_glagolnyh_formah,orthography,group,Безударные гласные в глагольных формах,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_8_1,orthography,leaf_rule,Гласные в глагольных окончаниях,1.2.8.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,grammatical_endings_context requires dictionary-backed lexical and morphology support,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_2_8_2,orthography,leaf_rule,Гласные в инфинитиве перед -ть,1.2.8.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_chastitsy_ne_i_ni,orthography,group,Частицы не и ни,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_9_1,orthography,leaf_rule,Одиночная частица «ни» перед словами «один» и «единый»,1.2.9.1,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_9_2,orthography,leaf_rule,Частица «ни» в союзе «ни... ни»,1.2.9.2,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_9_5,orthography,leaf_rule,Уступительные придаточные с частицей «ни»,1.2.9.5,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_9_6,orthography,leaf_rule,"Конструкции «не кто иной», «не что иное»",1.2.9.6,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_9_7,orthography,leaf_rule,Частица «не» в устойчивых сочетаниях,1.2.9.7,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_9_8,orthography,leaf_rule,Частица «ни» в устойчивых сочетаниях,1.2.9.8,"[""ni_stable_expression""]",model_required,"[""model"", ""morphology"", ""syntax""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,True,True,True,True,True,True,True,False,high,[],"[""ni_stable_expression""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_1_2_9_9,orthography,leaf_rule,Основное употребление частицы «ни»,1.2.9.9,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_2_9_10,orthography,leaf_rule,Основное употребление частицы «не»,1.2.9.10,[],planned,[],False,False,BLOCK_PLANNED,planned taxonomy entry has no executable training path,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh,orthography,group,Правописание согласных,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_gluhie_i_zvonkie_soglasnye,orthography,group,Глухие и звонкие согласные,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_3_1_1,orthography,leaf_rule,Парные глухие согласные,1.3.1.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_3_1_2,orthography,leaf_rule,Написание непроверяемых согласных,1.3.1.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_3_1_3,orthography,leaf_rule,"Слова с сочетаниями согласных «ск, ст, зг, зд»",1.3.1.3,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_3_1_4,orthography,leaf_rule,Правописание приставок на «з» и «с»,1.3.1.4,"[""sdelat_prefix"", ""prefix_z_to_s"", ""prefix_s_to_z""]",implemented,"[""dictionary""]",True,False,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,True,True,True,True,True,True,True,False,medium,[],"[""sdelat_prefix"", ""prefix_z_to_s"", ""prefix_s_to_z""]","[""threshold_calibration""]","[""policy_decision_included""]"
orthography_1_3_2,orthography,leaf_rule,Непроизносимые согласные,1.3.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_gruppy_soglasnyh_na_styke_znachimyh_chastey_slova,orthography,group,Группы согласных на стыке значимых частей слова,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_3_3_1,orthography,leaf_rule,Прилагательные с суффиксом «-ск»,1.3.3.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
