rule_id,include,reason,operator,error_type,requires
keyboard_typo_candidate,True,registered_operator,ReplacementCorruptionOperator,spelling,
missing_hard_sign,True,registered_operator,RuleCorruptionBackedOperator,spelling,
missing_letter_candidate,True,registered_operator,ReplacementCorruptionOperator,spelling,
n_nn_adjective,True,registered_operator,RuleCorruptionBackedOperator,spelling,
n_nn_deverbal_adjective,True,registered_operator,RuleCorruptionBackedOperator,spelling,
n_nn_participle,True,registered_operator,RuleCorruptionBackedOperator,spelling,
n_nn_short_form,True,registered_operator,RuleCorruptionBackedOperator,spelling,
ne_adjective,True,registered_operator,RuleCorruptionBackedOperator,spelling,
ne_adverb,True,registered_operator,RuleCorruptionBackedOperator,spelling,
ne_participle,True,registered_operator,RuleCorruptionBackedOperator,spelling,
ne_predicative,True,registered_operator,RuleCorruptionBackedOperator,spelling,
ne_short_form,True,registered_operator,RuleCorruptionBackedOperator,spelling,
ne_verb,True,registered_operator,RuleCorruptionBackedOperator,spelling,
neural_punctuation,False,BLOCK_MISSING_MODULE,,,
ni_particle_context,True,registered_operator,RuleCorruptionBackedOperator,spelling,
ni_stable_expression,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_жо_же,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_жы_жи,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_цы_ци,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_чо_че,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_чю_чу,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_чя_ча,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_шо_ше,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_шы_ши,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_що_ще,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_щю_щу,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pattern_щя_ща,True,registered_operator,RuleCorruptionBackedOperator,spelling,
pol_polu_compounds,True,registered_operator,RuleCorruptionBackedOperator,spelling,
prefix_pre_pri,True,registered_operator,RuleCorruptionBackedOperator,spelling,
prefix_s_to_z,True,registered_operator,RuleCorruptionBackedOperator,spelling,
prefix_z_to_s,True,registered_operator,RuleCorruptionBackedOperator,spelling,
punctuation_delete_replace,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
quote_close,False,BLOCK_EXCLUDED_BY_OPERATOR_POLICY,,,
quote_open,False,BLOCK_EXCLUDED_BY_OPERATOR_POLICY,,,
quote_pair_balance,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
sdelat_prefix,True,registered_operator,RuleCorruptionBackedOperator,spelling,
semicolon,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
soft_to_hard_sign,True,registered_operator,RuleCorruptionBackedOperator,spelling,
subject_predicate_dash,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
swapped_letters_candidate,True,registered_operator,ReplacementCorruptionOperator,spelling,
tsya_soft_delete,True,registered_operator,RuleCorruptionBackedOperator,spelling,
tsya_soft_insert,True,registered_operator,RuleCorruptionBackedOperator,spelling,
yo_e_candidate,False,BLOCK_YO_E_DISABLED,,,
