rule_id,source,include,reason,risk_level,needs_validator,needs_threshold_calibration,candidate_path_exists,synthetic_support_exists,hard_negative_support_exists,target_min_examples,target_preferred_examples,final_count
enumeration_colon,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
enumeration_dash,syntax_supported,False,excluded_after_quality_audit_underfilled,high,False,True,True,True,True,1500,2500,0
explanation_colon,syntax_supported,True,syntax_supported_candidate_backed,medium,False,True,True,True,True,1500,2500,3250
extra_letter_candidate,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,1800,2027
final_punctuation_default,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,3000,3750
frequent_error_exact,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,3000,1025
homogeneous_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
hyphen_koe_koy,legacy_stable,True,legacy_candidate_backed_current_capability,low,False,False,True,True,True,1000,3000,3750
hyphen_particles,legacy_stable,True,legacy_candidate_backed_current_capability,low,False,False,True,True,True,1000,3000,3750
hyphen_po_adverbs,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,3000,3750
hyphen_whitelist,legacy_stable,False,excluded_after_quality_audit_underfilled,medium,False,False,True,True,True,1000,3000,137
introductory_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
keyboard_typo_candidate,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,1800,1988
missing_hard_sign,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,2927
missing_letter_candidate,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,1800,1962
n_nn_adjective,syntax_supported,True,syntax_supported_candidate_backed,medium,False,True,True,True,True,1500,2500,3250
n_nn_deverbal_adjective,syntax_supported,True,syntax_supported_candidate_backed,medium,False,True,True,True,True,1500,2500,1772
n_nn_participle,syntax_supported,True,syntax_supported_candidate_backed,medium,False,True,True,True,True,1500,2500,3129
n_nn_short_form,syntax_supported,True,syntax_supported_candidate_backed,medium,False,True,True,True,True,1500,2500,3250
ne_adjective,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
ne_adverb,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
ne_participle,syntax_supported,True,syntax_supported_candidate_backed,medium,False,True,True,True,True,1500,2500,3250
ne_predicative,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3212
ne_short_form,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3229
ne_verb,syntax_supported,True,syntax_supported_candidate_backed,medium,False,True,True,True,True,1500,2500,3250
neural_punctuation,excluded,False,broad_neural_punctuation_excluded,low,False,False,False,False,False,0,0,0
ni_particle_context,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
ni_stable_expression,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
pattern_жо_же,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3250
pattern_жы_жи,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3094
pattern_цы_ци,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3250
pattern_чо_че,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3250
pattern_чю_чу,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,2893
pattern_чя_ча,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3250
pattern_шо_ше,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3180
pattern_шы_ши,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3081
pattern_що_ще,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3092
pattern_щю_щу,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,2836
pattern_щя_ща,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,2994
pol_polu_compounds,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3250
prefix_pre_pri,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3250
prefix_s_to_z,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3250
prefix_z_to_s,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,3187
punctuation_delete_replace,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,1700
quote_close,current_capability,False,broad_normalization_quote_id_excluded,high,False,True,True,True,True,0,0,0
quote_open,current_capability,False,broad_normalization_quote_id_excluded,high,False,True,True,True,True,0,0,0
quote_pair_balance,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,1634
sdelat_prefix,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,2847
semicolon,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,1637
soft_to_hard_sign,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,2923
subject_predicate_dash,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
swapped_letters_candidate,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,1800,2007
tsya_soft_delete,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3211
tsya_soft_insert,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,2925
yo_e_candidate,excluded,False,yo_e_disabled_in_dictionary_config,low,False,False,False,False,False,0,0,0
