rule_id,activation_stage,production_ready,source,included,reason
ne_adjective,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
ne_adverb,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
ne_participle,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
ne_predicative,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
ne_short_form,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
ne_verb,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
ni_particle_context,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
ni_stable_expression,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
pattern_жо_же,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_жы_жи,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_цы_ци,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_чо_че,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_чю_чу,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_чя_ча,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_шо_ше,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_шы_ши,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_що_ще,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_щю_щу,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pattern_щя_ща,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
pol_polu_compounds,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
prefix_pre_pri,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
prefix_s_to_z,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
prefix_z_to_s,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
punctuation_delete_replace,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
quote_close,blocked,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,rule_registry",False,broad_normalization_bucket
quote_open,blocked,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,rule_registry",False,broad_normalization_bucket
quote_pair_balance,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
sdelat_prefix,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
semicolon,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
soft_to_hard_sign,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
subject_predicate_dash,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
swapped_letters_candidate,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
tsya_soft_delete,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
tsya_soft_insert,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
yo_e_candidate,blocked,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,rule_registry",False,BLOCK_DISABLED
