rule_id,taxonomy_key,title,blocker,reason,missing_component
enumeration_dash,punctuation_4_8,"Тире перед обобщающим словом, стоящим после однородных членов",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
explanation_colon,punctuation_7_3_1,Запятая в бессоюзном сложном предложении,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
extra_letter_candidate,orthography_7_1,"Пропуск, вставка, изменение или перестановка буквы",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
final_punctuation_default,punctuation_1_1,Знаки препинания в конце предложения,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
frequent_error_exact,orthography_8_1,Орфографические ошибки в словарных словах,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
homogeneous_comma,punctuation_4_2,"Запятые при однородных членах предложения, соединенных повторяющимися союзами",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
hyphen_koe_koy,orthography_3_4_2_1,Местоименные слова с приставкой «кое- (кой-)»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
hyphen_particles,orthography_3_4_2_2,"Местоименные слова с постфиксами «-либо, -нибудь, -то»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
hyphen_po_adverbs,orthography_3_5_3_2,"Наречия с приставкой «по-», оканчивающиеся на «-ому, -ему, -ски, -цки, -ьи»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
hyphen_whitelist,orthography_3_11,Написание согласно словарю,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
introductory_comma,punctuation_6_1_1,Запятые при вводных словах,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
keyboard_typo_candidate,orthography_7_3,Некорректная буква,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
missing_hard_sign,orthography_1_1_4_1,Разделительные «ъ» и «ь»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
missing_letter_candidate,orthography_7_1,"Пропуск, вставка, изменение или перестановка буквы",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
n_nn_adjective,orthography_1_3_6_5,Двойное «н» и одно «н» в суффиксах прилагательных и существительных,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
n_nn_deverbal_adjective,orthography_1_3_6_7,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
n_nn_participle,orthography_1_3_6_6,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
n_nn_short_form,orthography_1_3_6_8,"Двойное н и одно н в словах, образованных от прилагательных и причастий",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ne_adjective,orthography_3_7_1_4_1,Замена слова с «не» на близкое по значению слово без «не»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ne_adverb,orthography_3_5_4,Написание отрицательных наречий,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ne_participle,orthography_3_7_1_5,Слитное написание с полными формами причастий,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ne_predicative,orthography_3_5_4,Написание отрицательных наречий,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ne_short_form,orthography_3_7_1_4_4,"Наличие слов типа «очень», «крайне», «весьма»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ne_verb,orthography_3_7_2_1,Написание со всеми формами глаголов (кроме полных причастий),below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ni_particle_context,orthography_3_7_2_9,"Конструкции, усиливающие отрицание",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
ni_stable_expression,orthography_1_2_9_8,Частица «ни» в устойчивых сочетаниях,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_жо_же,orthography_1_1_2_3,Буква «е» на месте ударной гласной,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_жы_жи,orthography_1_1_2_2,"Буквы «и», «ы»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_цы_ци,orthography_1_1_2_2,"Буквы «и», «ы»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_чо_че,orthography_1_1_2_3,Буква «е» на месте ударной гласной,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_чю_чу,orthography_1_1_2_1,"Буквы «а», «у»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_чя_ча,orthography_1_1_2_1,"Буквы «а», «у»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_шо_ше,orthography_1_1_2_3,Буква «е» на месте ударной гласной,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_шы_ши,orthography_1_1_2_2,"Буквы «и», «ы»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_що_ще,orthography_1_1_2_3,Буква «е» на месте ударной гласной,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_щю_щу,orthography_1_1_2_1,"Буквы «а», «у»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pattern_щя_ща,orthography_1_1_2_1,"Буквы «а», «у»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
pol_polu_compounds,orthography_3_1_1_2_9,Сочетания с префиксом «пол-»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
prefix_pre_pri,orthography_1_2_3_2,Приставки при- и пре-,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
prefix_s_to_z,orthography_1_3_1_4,Правописание приставок на «з» и «с»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
prefix_z_to_s,orthography_1_3_1_4,Правописание приставок на «з» и «с»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
punctuation_delete_replace,punctuation_1_3_5,Непонятная точка,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
quote_close,punctuation_9_6,Разные знаки с кавычками,broad_normalization_bucket,broad_normalization_bucket,concrete_candidate_operation
quote_open,punctuation_9_6,Разные знаки с кавычками,broad_normalization_bucket,broad_normalization_bucket,concrete_candidate_operation
quote_pair_balance,punctuation_9_6,Разные знаки с кавычками,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
sdelat_prefix,orthography_1_3_1_4,Правописание приставок на «з» и «с»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
semicolon,punctuation_7_3_1,Запятая в бессоюзном сложном предложении,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
soft_to_hard_sign,orthography_1_1_4_1,Разделительные «ъ» и «ь»,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
subject_predicate_dash,punctuation_2_1_2,"Тире перед словами «вот», «это»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
swapped_letters_candidate,orthography_7_1,"Пропуск, вставка, изменение или перестановка буквы",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
tsya_soft_delete,orthography_1_1_4_4,Буква «ь» не после шипящих в некоторых грамматических формах,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
tsya_soft_insert,orthography_1_1_4_4,Буква «ь» не после шипящих в некоторых грамматических формах,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
yo_e_candidate,orthography_1_1_1_3,Буква «ё»,BLOCK_DISABLED,BLOCK_DISABLED,activation_policy
