rule_id,in_training_candidates,has_any_recipe,recipe_enabled,disabled_reason,covered_by_corpus_miner,covered_by_syntax_miner,covered_by_morphology_miner,covered_by_real_pattern_replay,covered_by_enabled_rule_lab,generation_support_sources,status,main_blocker,recommended_next_action
keyboard_typo_candidate,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
missing_hard_sign,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
missing_letter_candidate,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
n_nn_adjective,True,True,True,,False,False,True,False,True,"morphology_mined,rule_lab",enabled_rule_lab_recipe,,inspect_morphology_miner_or_validator
n_nn_deverbal_adjective,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
n_nn_participle,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
n_nn_short_form,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_adjective,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_adverb,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_participle,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_predicative,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_short_form,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_verb,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
ni_particle_context,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ni_stable_expression,True,True,False,validator_missing,False,False,False,False,False,,blocked_needs_validator,validator_missing,fix_strict_validator_or_atomic_verifier_support
pattern_жо_же,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_жы_жи,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_цы_ци,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_чо_че,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_чю_чу,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_чя_ча,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_шо_ше,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_шы_ши,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_що_ще,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_щю_щу,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_щя_ща,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pol_polu_compounds,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
prefix_pre_pri,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
prefix_s_to_z,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
prefix_z_to_s,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
punctuation_delete_replace,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
quote_pair_balance,True,True,True,,False,False,False,False,True,rule_lab,enabled_rule_lab_recipe,,monitor_enabled_rule_lab_recipe
sdelat_prefix,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
semicolon,True,True,False,validator_missing,False,False,False,False,False,,blocked_needs_validator,validator_missing,fix_strict_validator_or_atomic_verifier_support
soft_to_hard_sign,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
subject_predicate_dash,True,True,False,candidate_missing,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,candidate_missing,fix_candidate_generator_or_rule_mapping
swapped_letters_candidate,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
tsya_soft_delete,True,True,False,validator_missing,False,False,True,False,False,morphology_mined,blocked_needs_validator,validator_missing,fix_strict_validator_or_atomic_verifier_support
tsya_soft_insert,True,True,False,validator_missing,False,False,True,False,False,morphology_mined,blocked_needs_validator,validator_missing,fix_strict_validator_or_atomic_verifier_support
