row_index,rule_id,reason,source,target
354,bracket_pair_balance,target_quality_failed,Проверь документ (дежурная группа.,Проверь документ (дежурная группа).
355,bracket_pair_balance,target_quality_failed,Проверь документ (контрольная таблица.,Проверь документ (контрольная таблица).
356,bracket_pair_balance,target_quality_failed,Проверь документ (закрытое письмо.,Проверь документ (закрытое письмо).
357,bracket_pair_balance,target_quality_failed,Проверь документ (городская программа.,Проверь документ (городская программа).
358,bracket_pair_balance,target_quality_failed,Проверь документ (новый документ.,Проверь документ (новый документ).
359,bracket_pair_balance,target_quality_failed,Проверь документ (утренний выпуск.,Проверь документ (утренний выпуск).
360,bracket_pair_balance,target_quality_failed,Проверь документ (короткая заметка.,Проверь документ (короткая заметка).
361,bracket_pair_balance,target_quality_failed,Проверь документ (свежая сводка.,Проверь документ (свежая сводка).
362,bracket_pair_balance,target_quality_failed,Проверь документ (письменный ответ.,Проверь документ (письменный ответ).
363,bracket_pair_balance,target_quality_failed,Проверь документ (финальный список.,Проверь документ (финальный список).
364,bracket_pair_balance,target_quality_failed,Проверь документ (архивная запись.,Проверь документ (архивная запись).
365,bracket_pair_balance,target_quality_failed,Проверь документ (общий график.,Проверь документ (общий график).
366,bracket_pair_balance,target_quality_failed,Проверь документ (осенняя проверка.,Проверь документ (осенняя проверка).
367,bracket_pair_balance,target_quality_failed,Проверь документ (важная подпись.,Проверь документ (важная подпись).
368,bracket_pair_balance,target_quality_failed,Проверь документ (городская служба.,Проверь документ (городская служба).
369,bracket_pair_balance,target_quality_failed,Проверь документ (учебная таблица.,Проверь документ (учебная таблица).
370,bracket_pair_balance,target_quality_failed,Проверь документ (проверенный файл.,Проверь документ (проверенный файл).
371,bracket_pair_balance,target_quality_failed,Проверь документ (подготовленный список.,Проверь документ (подготовленный список).
372,bracket_pair_balance,target_quality_failed,Проверь документ (длинная запись.,Проверь документ (длинная запись).
373,bracket_pair_balance,target_quality_failed,Проверь документ (северный филиал.,Проверь документ (северный филиал).
374,bracket_pair_balance,target_quality_failed,Проверь документ (летняя проверка.,Проверь документ (летняя проверка).
375,bracket_pair_balance,target_quality_failed,Проверь документ (входящее письмо.,Проверь документ (входящее письмо).
376,bracket_pair_balance,target_quality_failed,Проверь документ (новая таблица.,Проверь документ (новая таблица).
377,bracket_pair_balance,target_quality_failed,Проверь документ (утренний приказ.,Проверь документ (утренний приказ).
378,bracket_pair_balance,target_quality_failed,Проверь документ (городской проект.,Проверь документ (городской проект).
379,bracket_pair_balance,target_quality_failed,Проверь документ (общий список.,Проверь документ (общий список).
380,bracket_pair_balance,target_quality_failed,Проверь документ (архивный номер.,Проверь документ (архивный номер).
381,bracket_pair_balance,target_quality_failed,Проверь документ (плановый отчет.,Проверь документ (плановый отчет).
382,bracket_pair_balance,target_quality_failed,Проверь документ (вечерняя смена.,Проверь документ (вечерняя смена).
383,bracket_pair_balance,target_quality_failed,Проверь документ (письменная просьба.,Проверь документ (письменная просьба).
384,bracket_pair_balance,target_quality_failed,Проверь документ (дневной выпуск.,Проверь документ (дневной выпуск).
385,bracket_pair_balance,target_quality_failed,Проверь документ (готовый макет.,Проверь документ (готовый макет).
386,bracket_pair_balance,target_quality_failed,Проверь документ (временный график.,Проверь документ (временный график).
387,bracket_pair_balance,target_quality_failed,Проверь документ (финальная версия.,Проверь документ (финальная версия).
388,bracket_pair_balance,target_quality_failed,Проверь документ (принятый отчет.,Проверь документ (принятый отчет).
389,bracket_pair_balance,target_quality_failed,Проверь документ (служебный ответ.,Проверь документ (служебный ответ).
1105,context_chto_by,strict_validator_rejected,"Как заявили РИА ""Новости"" впосольстве РФ в этой стране, определенные силы в Литве пытаютсяиспользовать этот политический процесс для того, что бы броситьтень на российско-литовские отношения.","Как заявили РИА ""Новости"" впосольстве РФ в этой стране, определенные силы в Литве пытаютсяиспользовать этот политический процесс для того, чтобы броситьтень на российско-литовские отношения."
1106,context_chto_by,strict_validator_rejected,"Он пообещал сделать все необходимое, что бы защитить высокую репутацию ""Bank of New York"" и ""не допустить противозаконной или неподобающей деятельности, к которой мог бы быть причастен банк"".","Он пообещал сделать все необходимое, чтобы защитить высокую репутацию ""Bank of New York"" и ""не допустить противозаконной или неподобающей деятельности, к которой мог бы быть причастен банк""."
1107,context_chto_by,strict_validator_rejected,"Юрий Чайка заявил, что министерство юстиции намерено сделать все от него зависящее, что бы выборы депутатов Государственной думы стали подлинно свободными, равными и демократическими.","Юрий Чайка заявил, что министерство юстиции намерено сделать все от него зависящее, чтобы выборы депутатов Государственной думы стали подлинно свободными, равными и демократическими."
1108,context_chto_by,strict_validator_rejected,"Как сообщил ""Интерфаксу"" вице-мэр Валерий Шанцев, кинологи с собаками осматривают всю территорию подземного комплекса, что бы выяснить, не оставлены ли там другие взрывные устройства.","Как сообщил ""Интерфаксу"" вице-мэр Валерий Шанцев, кинологи с собаками осматривают всю территорию подземного комплекса, чтобы выяснить, не оставлены ли там другие взрывные устройства."
1109,context_chto_by,strict_validator_rejected,"Видимо, теперь на окнах звонницы будут установлены решетки, что бы подобное больше не могло повториться.","Видимо, теперь на окнах звонницы будут установлены решетки, чтобы подобное больше не могло повториться."
1110,context_chto_by,strict_validator_rejected,"По мнению некоторых комментаторов, само расследование было затеяно для того, что бы собрать все материалы об инциденте в Уэйко и найти того, кто допустил ""утечку"" информации об использовании газа.","По мнению некоторых комментаторов, само расследование было затеяно для того, чтобы собрать все материалы об инциденте в Уэйко и найти того, кто допустил ""утечку"" информации об использовании газа."
1111,context_chto_by,strict_validator_rejected,"По мнению Львова, было бы логичнее приблизить цены на топливные ресурсы к мировым, что бы производителям и поставщикам было безразлично, продавать нефтепродукты на экспорт или на внутренний рынок.","По мнению Львова, было бы логичнее приблизить цены на топливные ресурсы к мировым, чтобы производителям и поставщикам было безразлично, продавать нефтепродукты на экспорт или на внутренний рынок."
1112,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже редактор сохранил копию.,Что бы он ни сказал решение принято. Позже редактор сохранил копию.
1113,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром комиссия вернулась к письму.,Чтобы закончить работу нужно согласование. Утром комиссия вернулась к письму.
1114,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После встречи файл остался в архиве.,Что бы он ни сказал решение принято. После встречи файл остался в архиве.
1115,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером автор обновил сводку.,Чтобы закончить работу нужно согласование. Вечером автор обновил сводку.
1116,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем группа сверила подписи.,Что бы он ни сказал решение принято. Затем группа сверила подписи.
1117,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже служба отправила ответ.,Чтобы закончить работу нужно согласование. Позже служба отправила ответ.
1118,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром секретарь открыл папку.,Что бы он ни сказал решение принято. Утром секретарь открыл папку.
1119,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После проверки список закрыли.,Чтобы закончить работу нужно согласование. После проверки список закрыли.
1120,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером руководитель принял правки.,Что бы он ни сказал решение принято. Вечером руководитель принял правки.
1121,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем аналитик обновил запись.,Чтобы закончить работу нужно согласование. Затем аналитик обновил запись.
1122,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже отдел уточнил дату.,Что бы он ни сказал решение принято. Позже отдел уточнил дату.
1123,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром курьер принес копию.,Чтобы закончить работу нужно согласование. Утром курьер принес копию.
1124,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После обеда автор сверил данные.,Что бы он ни сказал решение принято. После обеда автор сверил данные.
1125,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером секретарь закрыл журнал.,Чтобы закончить работу нужно согласование. Вечером секретарь закрыл журнал.
1126,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем комиссия перенесла встречу.,Что бы он ни сказал решение принято. Затем комиссия перенесла встречу.
1127,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже архивариус обновил карточку.,Чтобы закончить работу нужно согласование. Позже архивариус обновил карточку.
1128,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром дежурный проверил подписи.,Что бы он ни сказал решение принято. Утром дежурный проверил подписи.
1129,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После звонка редактор открыл файл.,Чтобы закончить работу нужно согласование. После звонка редактор открыл файл.
1130,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером группа согласовала срок.,Что бы он ни сказал решение принято. Вечером группа согласовала срок.
1131,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем отдел отправил письмо.,Чтобы закончить работу нужно согласование. Затем отдел отправил письмо.
1132,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже автор поправил заголовок.,Что бы он ни сказал решение принято. Позже автор поправил заголовок.
1133,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром команда сверила список.,Чтобы закончить работу нужно согласование. Утром команда сверила список.
1134,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После совещания документ приняли.,Что бы он ни сказал решение принято. После совещания документ приняли.
1135,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером сотрудник закрыл заявку.,Чтобы закончить работу нужно согласование. Вечером сотрудник закрыл заявку.
1136,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем редактор сохранил таблицу.,Что бы он ни сказал решение принято. Затем редактор сохранил таблицу.
1137,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже руководитель уточнил адрес.,Чтобы закончить работу нужно согласование. Позже руководитель уточнил адрес.
1138,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром специалист открыл журнал.,Что бы он ни сказал решение принято. Утром специалист открыл журнал.
1139,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После проверки данные совпали.,Чтобы закончить работу нужно согласование. После проверки данные совпали.
1140,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером служба передала копию.,Что бы он ни сказал решение принято. Вечером служба передала копию.
1141,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем автор подписал лист.,Чтобы закончить работу нужно согласование. Затем автор подписал лист.
1142,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже комиссия вернула письмо.,Что бы он ни сказал решение принято. Позже комиссия вернула письмо.
1143,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром отдел принял заявку.,Чтобы закончить работу нужно согласование. Утром отдел принял заявку.
1144,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После обеда секретарь внес дату.,Что бы он ни сказал решение принято. После обеда секретарь внес дату.
1145,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером редактор проверил список.,Чтобы закончить работу нужно согласование. Вечером редактор проверил список.
1146,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем курьер доставил пакет.,Что бы он ни сказал решение принято. Затем курьер доставил пакет.
1147,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже аналитик сверил отчет.,Чтобы закончить работу нужно согласование. Позже аналитик сверил отчет.
1148,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром группа открыла архив.,Что бы он ни сказал решение принято. Утром группа открыла архив.
1149,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После встречи автор добавил подпись.,Чтобы закончить работу нужно согласование. После встречи автор добавил подпись.
1150,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером отдел закрыл вопрос.,Что бы он ни сказал решение принято. Вечером отдел закрыл вопрос.
1151,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем специалист отправил ответ.,Чтобы закончить работу нужно согласование. Затем специалист отправил ответ.
1152,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже секретарь подготовил копию.,Что бы он ни сказал решение принято. Позже секретарь подготовил копию.
1153,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром редактор проверил адрес.,Чтобы закончить работу нужно согласование. Утром редактор проверил адрес.
1154,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После звонка комиссия ждала письмо.,Что бы он ни сказал решение принято. После звонка комиссия ждала письмо.
1155,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером автор уточнил срок.,Чтобы закончить работу нужно согласование. Вечером автор уточнил срок.
1156,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем отдел сохранил файл.,Что бы он ни сказал решение принято. Затем отдел сохранил файл.
1157,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже группа приняла решение.,Чтобы закончить работу нужно согласование. Позже группа приняла решение.
1158,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром служба сверила данные.,Что бы он ни сказал решение принято. Утром служба сверила данные.
1159,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После совещания секретарь закрыл папку.,Чтобы закончить работу нужно согласование. После совещания секретарь закрыл папку.
1160,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером специалист обновил запись.,Что бы он ни сказал решение принято. Вечером специалист обновил запись.
1161,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем редактор передал копию.,Чтобы закончить работу нужно согласование. Затем редактор передал копию.
1162,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже автор открыл таблицу.,Что бы он ни сказал решение принято. Позже автор открыл таблицу.
1163,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром комиссия согласовала дату.,Чтобы закончить работу нужно согласование. Утром комиссия согласовала дату.
1164,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После проверки отдел отправил ответ.,Что бы он ни сказал решение принято. После проверки отдел отправил ответ.
1165,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером секретарь внес подпись.,Чтобы закончить работу нужно согласование. Вечером секретарь внес подпись.
1166,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем группа закрыла журнал.,Что бы он ни сказал решение принято. Затем группа закрыла журнал.
1167,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже служба уточнила маршрут.,Чтобы закончить работу нужно согласование. Позже служба уточнила маршрут.
1168,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром аналитик проверил сводку.,Что бы он ни сказал решение принято. Утром аналитик проверил сводку.
1169,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После обеда редактор принял письмо.,Чтобы закончить работу нужно согласование. После обеда редактор принял письмо.
1170,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером отдел обновил список.,Что бы он ни сказал решение принято. Вечером отдел обновил список.
1171,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем автор сохранил документ.,Чтобы закончить работу нужно согласование. Затем автор сохранил документ.
1172,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже комиссия открыла протокол.,Что бы он ни сказал решение принято. Позже комиссия открыла протокол.
1173,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром секретарь отправил копию.,Чтобы закончить работу нужно согласование. Утром секретарь отправил копию.
1174,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После звонка специалист уточнил срок.,Что бы он ни сказал решение принято. После звонка специалист уточнил срок.
1175,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером группа сверила даты.,Чтобы закончить работу нужно согласование. Вечером группа сверила даты.
1176,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем отдел принял письмо.,Что бы он ни сказал решение принято. Затем отдел принял письмо.
1177,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже редактор сохранил копию.,Чтобы закончить работу нужно согласование. Позже редактор сохранил копию.
1178,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром комиссия вернулась к письму.,Что бы он ни сказал решение принято. Утром комиссия вернулась к письму.
1179,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После встречи файл остался в архиве.,Чтобы закончить работу нужно согласование. После встречи файл остался в архиве.
1180,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером автор обновил сводку.,Что бы он ни сказал решение принято. Вечером автор обновил сводку.
1181,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем группа сверила подписи.,Чтобы закончить работу нужно согласование. Затем группа сверила подписи.
1182,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже служба отправила ответ.,Что бы он ни сказал решение принято. Позже служба отправила ответ.
1183,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром секретарь открыл папку.,Чтобы закончить работу нужно согласование. Утром секретарь открыл папку.
1184,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После проверки список закрыли.,Что бы он ни сказал решение принято. После проверки список закрыли.
1185,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером руководитель принял правки.,Чтобы закончить работу нужно согласование. Вечером руководитель принял правки.
1186,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем аналитик обновил запись.,Что бы он ни сказал решение принято. Затем аналитик обновил запись.
1187,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже отдел уточнил дату.,Чтобы закончить работу нужно согласование. Позже отдел уточнил дату.
1188,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром курьер принес копию.,Что бы он ни сказал решение принято. Утром курьер принес копию.
1189,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После обеда автор сверил данные.,Чтобы закончить работу нужно согласование. После обеда автор сверил данные.
1190,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером секретарь закрыл журнал.,Что бы он ни сказал решение принято. Вечером секретарь закрыл журнал.
1191,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем комиссия перенесла встречу.,Чтобы закончить работу нужно согласование. Затем комиссия перенесла встречу.
1192,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже архивариус обновил карточку.,Что бы он ни сказал решение принято. Позже архивариус обновил карточку.
1193,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром дежурный проверил подписи.,Чтобы закончить работу нужно согласование. Утром дежурный проверил подписи.
1194,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После звонка редактор открыл файл.,Что бы он ни сказал решение принято. После звонка редактор открыл файл.
1195,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером группа согласовала срок.,Чтобы закончить работу нужно согласование. Вечером группа согласовала срок.
1196,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Затем отдел отправил письмо.,Что бы он ни сказал решение принято. Затем отдел отправил письмо.
1197,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Позже автор поправил заголовок.,Чтобы закончить работу нужно согласование. Позже автор поправил заголовок.
1198,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Утром команда сверила список.,Что бы он ни сказал решение принято. Утром команда сверила список.
1199,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. После совещания документ приняли.,Чтобы закончить работу нужно согласование. После совещания документ приняли.
1200,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Вечером сотрудник закрыл заявку.,Что бы он ни сказал решение принято. Вечером сотрудник закрыл заявку.
1201,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Затем редактор сохранил таблицу.,Чтобы закончить работу нужно согласование. Затем редактор сохранил таблицу.
1202,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. Позже руководитель уточнил адрес.,Что бы он ни сказал решение принято. Позже руководитель уточнил адрес.
1203,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Утром специалист открыл журнал.,Чтобы закончить работу нужно согласование. Утром специалист открыл журнал.
1204,context_chto_by,non_atomic_edit_count,Чтобы он ни сказал решение принято. После проверки данные совпали.,Что бы он ни сказал решение принято. После проверки данные совпали.
1205,context_chto_by,non_atomic_edit_count,Что бы закончить работу нужно согласование. Вечером служба передала копию.,Чтобы закончить работу нужно согласование. Вечером служба передала копию.
