rule_id,tier,include_in_dataset,reason,quota_min,quota_preferred,quota_final,candidate_recall,safety_status,source
ne_short_form,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,959,1.0,excluded_after_dataset_quality_audit,syntax_supported
ne_verb,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3187,1.0,included,syntax_supported
neural_punctuation,excluded,False,broad_neural_punctuation_excluded,0,0,0,0.0,excluded,excluded
ni_particle_context,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,562,1.0,excluded_after_dataset_quality_audit,syntax_supported
ni_stable_expression,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,768,1.0,excluded_after_dataset_quality_audit,syntax_supported
pattern_жо_же,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3230,1.0,included,legacy_stable
pattern_жы_жи,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3207,1.0,included,legacy_stable
pattern_цы_ци,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3243,1.0,included,legacy_stable
pattern_чо_че,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3250,1.0,included,legacy_stable
pattern_чю_чу,legacy_stable,False,excluded_by_core_builder,1000,2500,2399,1.0,excluded_after_dataset_quality_audit,legacy_stable
pattern_чя_ча,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3218,1.0,included,legacy_stable
pattern_шо_ше,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3212,1.0,included,legacy_stable
pattern_шы_ши,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3194,1.0,included,legacy_stable
pattern_що_ще,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3193,1.0,included,legacy_stable
pattern_щю_щу,legacy_stable,False,excluded_by_core_builder,1000,2500,1375,1.0,excluded_after_dataset_quality_audit,legacy_stable
pattern_щя_ща,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3190,1.0,included,legacy_stable
pol_polu_compounds,legacy_stable,False,excluded_by_core_builder,1000,2500,2731,1.0,excluded_after_dataset_quality_audit,legacy_stable
prefix_pre_pri,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3250,1.0,included,legacy_stable
prefix_s_to_z,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3200,1.0,included,legacy_stable
prefix_z_to_s,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3204,1.0,included,legacy_stable
punctuation_delete_replace,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3153,1.0,included,syntax_supported
quote_close,current_capability,False,broad_normalization_quote_id_excluded,0,0,0,1.0,excluded,current_capability
quote_open,current_capability,False,broad_normalization_quote_id_excluded,0,0,0,1.0,excluded,current_capability
quote_pair_balance,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3189,1.0,included,syntax_supported
sdelat_prefix,legacy_stable,False,excluded_by_core_builder,1000,2500,2580,1.0,excluded_after_dataset_quality_audit,legacy_stable
semicolon,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,221,1.0,excluded_after_dataset_quality_audit,syntax_supported
soft_to_hard_sign,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3198,1.0,included,legacy_stable
subject_predicate_dash,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,793,1.0,excluded_after_dataset_quality_audit,syntax_supported
swapped_letters_candidate,legacy_stable,False,excluded_after_quota_underfilled,1000,1800,793,1.0,excluded_after_dataset_quality_audit,legacy_stable
tsya_soft_delete,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3195,1.0,included,syntax_supported
tsya_soft_insert,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3182,1.0,included,syntax_supported
yo_e_candidate,excluded,False,yo_e_disabled_in_dictionary_config,0,0,0,0.0,excluded,excluded
