rule_id,covered_by_corpus_miner,covered_by_syntax_miner,covered_by_morphology_miner,covered_by_real_pattern_replay,covered_by_enabled_rule_lab,generation_support_sources,status,recommended_next_action
hyphen_po_adverbs,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
hyphen_whitelist,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
introductory_comma,False,True,False,False,False,syntax_mined,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
keyboard_typo_candidate,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
missing_hard_sign,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
missing_letter_candidate,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
n_nn_adjective,False,False,True,False,True,"morphology_mined,rule_lab",enabled_rule_lab_recipe,inspect_morphology_miner_or_validator
n_nn_deverbal_adjective,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
n_nn_participle,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
n_nn_short_form,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
ne_adjective,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
ne_adverb,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
ne_participle,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
ne_predicative,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
ne_short_form,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
ne_verb,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
ni_particle_context,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
ni_stable_expression,False,False,False,False,False,,blocked_needs_validator,fix_strict_validator_or_atomic_verifier_support
pattern_жо_же,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_жы_жи,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_цы_ци,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_чо_че,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_чю_чу,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_чя_ча,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_шо_ше,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_шы_ши,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_що_ще,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_щю_щу,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pattern_щя_ща,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
pol_polu_compounds,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
prefix_pre_pri,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
prefix_s_to_z,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
prefix_z_to_s,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
punctuation_delete_replace,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
quote_pair_balance,False,False,False,False,True,rule_lab,enabled_rule_lab_recipe,monitor_enabled_rule_lab_recipe
sdelat_prefix,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
semicolon,False,False,False,False,False,,blocked_needs_validator,fix_strict_validator_or_atomic_verifier_support
soft_to_hard_sign,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
subject_predicate_dash,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,fix_candidate_generator_or_rule_mapping
swapped_letters_candidate,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
tsya_soft_delete,False,False,True,False,False,morphology_mined,blocked_needs_validator,fix_strict_validator_or_atomic_verifier_support
tsya_soft_insert,False,False,True,False,False,morphology_mined,blocked_needs_validator,fix_strict_validator_or_atomic_verifier_support
