rule_id,atomic_positive_count,min_atomic_required,hard_negative_count,min_hard_negative_required,status,reason
extra_letter_candidate,0,2500,1162,500,under_quota,below_min_atomic_positive_quota
final_punctuation_default,0,2500,0,500,under_quota,below_min_atomic_positive_quota
frequent_error_exact,0,2500,2,500,under_quota,below_min_atomic_positive_quota
homogeneous_comma,0,2500,1907,500,under_quota,below_min_atomic_positive_quota
hyphen_koe_koy,0,2500,1,500,under_quota,below_min_atomic_positive_quota
hyphen_particles,0,2500,44,500,under_quota,below_min_atomic_positive_quota
hyphen_po_adverbs,0,2500,1901,500,under_quota,below_min_atomic_positive_quota
hyphen_whitelist,0,2500,2,500,under_quota,below_min_atomic_positive_quota
introductory_comma,0,2500,454,500,under_quota,below_min_atomic_positive_quota
keyboard_typo_candidate,0,2500,877,500,under_quota,below_min_atomic_positive_quota
missing_hard_sign,0,2500,2078,500,under_quota,below_min_atomic_positive_quota
missing_letter_candidate,0,2500,1193,500,under_quota,below_min_atomic_positive_quota
n_nn_adjective,0,2500,1805,500,under_quota,below_min_atomic_positive_quota
n_nn_deverbal_adjective,0,2500,299,500,under_quota,below_min_atomic_positive_quota
n_nn_participle,0,2500,2091,500,under_quota,below_min_atomic_positive_quota
n_nn_short_form,0,2500,1574,500,under_quota,below_min_atomic_positive_quota
ne_adjective,0,2500,1690,500,under_quota,below_min_atomic_positive_quota
ne_adverb,0,2500,1822,500,under_quota,below_min_atomic_positive_quota
ne_participle,0,2500,1920,500,under_quota,below_min_atomic_positive_quota
ne_predicative,0,2500,1870,500,under_quota,below_min_atomic_positive_quota
ne_short_form,0,2500,2063,500,under_quota,below_min_atomic_positive_quota
ne_verb,0,2500,2097,500,under_quota,below_min_atomic_positive_quota
ni_particle_context,0,2500,78,500,under_quota,below_min_atomic_positive_quota
ni_stable_expression,0,2500,247,500,under_quota,below_min_atomic_positive_quota
pattern_жо_же,0,2500,874,500,under_quota,below_min_atomic_positive_quota
pattern_жы_жи,0,2500,2,500,under_quota,below_min_atomic_positive_quota
pattern_цы_ци,0,2500,74,500,under_quota,below_min_atomic_positive_quota
pattern_чо_че,0,2500,192,500,under_quota,below_min_atomic_positive_quota
pattern_чю_чу,0,2500,0,500,under_quota,below_min_atomic_positive_quota
pattern_чя_ча,0,2500,0,500,under_quota,below_min_atomic_positive_quota
pattern_шо_ше,0,2500,2039,500,under_quota,below_min_atomic_positive_quota
pattern_шы_ши,0,2500,2,500,under_quota,below_min_atomic_positive_quota
pattern_що_ще,0,2500,4,500,under_quota,below_min_atomic_positive_quota
pattern_щю_щу,0,2500,1,500,under_quota,below_min_atomic_positive_quota
pattern_щя_ща,0,2500,0,500,under_quota,below_min_atomic_positive_quota
pol_polu_compounds,0,2500,92,500,under_quota,below_min_atomic_positive_quota
prefix_pre_pri,0,2500,1795,500,under_quota,below_min_atomic_positive_quota
prefix_s_to_z,0,2500,271,500,under_quota,below_min_atomic_positive_quota
prefix_z_to_s,0,2500,2,500,under_quota,below_min_atomic_positive_quota
punctuation_delete_replace,0,2500,54,500,under_quota,below_min_atomic_positive_quota
quote_pair_balance,0,2500,24,500,under_quota,below_min_atomic_positive_quota
sdelat_prefix,0,2500,0,500,under_quota,below_min_atomic_positive_quota
semicolon,0,2500,6,500,under_quota,below_min_atomic_positive_quota
soft_to_hard_sign,0,2500,0,500,under_quota,below_min_atomic_positive_quota
subject_predicate_dash,0,2500,1977,500,under_quota,below_min_atomic_positive_quota
swapped_letters_candidate,0,2500,1881,500,under_quota,below_min_atomic_positive_quota
tsya_soft_delete,0,2500,1800,500,under_quota,below_min_atomic_positive_quota
tsya_soft_insert,0,2500,1836,500,under_quota,below_min_atomic_positive_quota
