rule_id,enabled,status,reason,disabled_reason,positive_template_count,hard_negative_template_count,has_any_recipe,in_training_candidates,covered_by_non_rule_lab_sources,generation_support_sources,main_blocker,recommended_next_action
pattern_чя_ча,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_шо_ше,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_шы_ши,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_що_ще,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_щю_щу,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_щя_ща,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pol_polu_compounds,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
prefix_pre_pri,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
prefix_s_to_z,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
prefix_z_to_s,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
punctuation_delete_replace,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
quote_pair_balance,True,enabled,,,4,0,True,True,False,rule_lab,,monitor_enabled_rule_lab_recipe
sdelat_prefix,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
semicolon,False,disabled,validator_missing,validator_missing,0,0,True,True,False,,validator_missing,fix_strict_validator_or_atomic_verifier_support
soft_to_hard_sign,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
subject_predicate_dash,False,disabled,candidate_missing,candidate_missing,0,0,True,True,True,syntax_mined,candidate_missing,fix_candidate_generator_or_rule_mapping
swapped_letters_candidate,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
tsya_soft_delete,False,disabled,validator_missing,validator_missing,0,0,True,True,True,morphology_mined,validator_missing,fix_strict_validator_or_atomic_verifier_support
tsya_soft_insert,False,disabled,validator_missing,validator_missing,0,0,True,True,True,morphology_mined,validator_missing,fix_strict_validator_or_atomic_verifier_support
